Manx,English,Notes
"Ghoolish Veen,","Dear Douglas,",
ER HOH skeeal veg mychione Will Wade jeant ec Chalse Mooar Juan Robin as mee hene.,Here is a little story about Will Wade Big made by Chalse Juan Robin and myself. ,
Ta shin jerkal nagh vel eh ro anmagh. ,We expect (hope) it isn’t too late.,
"Ta shin er lhaih ayns dty cholloo nagh vel dty lhaihderyn laccal ram skeealyn bentyn rish yn shenn sleih, ny skeealyn voish cheeraghyn Gaelgagh elley.","We have read in your column that your readers don’t want many stories concerning the old people, or stories from other Gaelic countries.",
Ta shoh oyr trimshey dooin as t’eh cur yindys orrin.,This is a cause of sadness to us and it puzzles us.,
Cre erbee t’ad laccal eisht?,What on earth do they want then?,
"Er my hon hene ‘laik lhiam fakin imraa jeant ayns “Noon as Noal” jeh Bnr. Kneale, Balley Garret as Caesar Cashin — dy enmys agh jees— yn jees feeu smoo toilchinagh — as quoi ny share na Illiam y Radlagh as Leslie y Quirk dy screeu mychione ny treanee shoh?— Markys Braide.","For myself, I would like to see mention made in “Noon as Noal’ of Mrs. Kneale, Balley Garret and Casear Cashin — to name but two — the two most worthy and deserving — and who better than Bill Radcliffe and Lelslie Quirk to write about these valiant people? — Mark Braide.",
     Ta shen screeuyn hooar mee er y chiaghtin voish Markys Braide as Chalse Mooar.,That is a letter I got in the week from Mark Braide and Big Chalse.,
"Ta mee ayns slane coardailys roo as ta treisht orrym dy jean Illiam as Leslie screeu ny cooinaghtyn oc jeh Caesar Cashin as Bnr. Kneale, Balley Garret.","I am in complete agreement with them and I hope that Bill and Leslie will write their memories of Caesar Cashin and Mrs. Kneale, Balley Garret.",
     Brie jeh olloo erbee ny Gaelgey as inshee eh dhyt nagh vel y Ghaelg noa (Neo-Manx t’ad enmys ee) ta goll er loayrt ainyn nish cocheintagh (homo­geneous).,     Ask any professor of Gaelic and he will tell you that the new (modern) Manx (Neo-Manx they call it) that is spoken by us now is homogenous.,
"Ta shoh er y fa dy dooar shin ee voish shenn sleih ayns shoh as ayns shen mygeayrt yn  Ellan as rere shen ta shin loayrt Gaelg lesh blass meshtit, paart veih’n Twoaie as paart veih’n Jiass.","This is because we got it from old people here and there around the Island and accordingly we speak Manx with a mixed accent, some from the North and some from the South.",
"Gyn ourys ta ny ollooyn kiart, agh ta un dooinney ayn jeh’n sheeloghe aym pene hooar ooilley e Ghaelg (ny “Gailck” myr yiarragh eh) voish un shenn dooinney ny lomarcan, ta shen Illiam y Teare voish Giat Geinnee.","No doubt the professors are correct, but there is one man of my own generation who got all his Manx (or ‘Gailck’ as he would say) from one old man alone, that is William Teare from Sandygate.",
Foddee dy vel shiu er chlashtyn eh preacheil ec ny shirveishyn ain.,Maybe you have heard him preaching at our services.,
"Hooar Illiam y Teare ooilley e Ghaelg voish Will Wade, yn loayreyder dooghyssagh mychionesyn[1] ta’n skeeal beg heese er ny screeu liorish Markys as Chalse Mooar.","William Teare got all his Manx from Will Wade, the native speaker about whom the little story below is written, by Mark and Big Chalse.",[1] mychionesyn] [mychione echeysyn] / [my-e-chione’s]
"     Ta Gaelg vie ec Illiam y Teare dy jarroo as dy mennick va mee hene cliaghtey “cur stiagh”, myr yiarragh Ned Maddrell, er Gelling’s Foundry ayns Doolish raad va Illiam gobbraghey keayrt dy row, dy loayrt rishyn.","     William Teare has very good Manx indeed and I myself used to “put in” (drop in), and Ned Maddrell would say, to Gelling’s Foundry in Douglas where William was working at one time, to talk to him.",
Er lhiam dy vel Illiam goaill eash nish ayns y Ghiat Geinnee son cha nel shin fakin monney jeh.,I think that William is resting now in Sandygate because we don’t see much of him.,
“BREAGAGH”.,“BREAGAGH”.,
"     Choud’s ta shin smooinaghtyn er loayreyderyn dooghyssagh, ny lhig dooin jarrood Will Wade, va baghey ec Sandygate ayns Skeerey Yurby.","     Whilst we are thinking about native speakers, let’s not forget Will Wade, who was living at Sandygate in Jurby Parish.",
"Dys e cheird v’eh ny seyir as queeylleyder, goll  mygeayrt y cheer sy Twoaie Wooar as ayns e lhing va ymmodee lhiatteeyn da’n cheird echey.","To his trade, he was a joiner and wheeler, going around the countryside in the ‘Great North’ and in his lifetime there were many sides to his trade.",
