Manx,English,Notes
"Kegeesh er dy henney ’sy cholloo shoh dimraa mee braar ayrey da my ven enmyssit Illiam y Kaye, dooinney ooasle as kenjal hooar baase mee er dy henney. ","A fortnight ago in this column I mentioned my wife’s uncle, called William Kaye, a noble and kind man who died a month ago.",
Rish shey bleeaney va mee gobbragh 'sy cheer cheddin as eshyn.,For six years I was working in the same country as him.,
"Ec y traa shen, va’n cheer enmyssit Yn Rhodeish Hwoaie, agh nish, erreish da seyrsnys ve currit daue t’ee enmyssit Yn Sambia.","At that time, the country was called Northern Rhodesia, but now, after independence has been given to them it is called Zambia.",
,,
Ayns Toshiaght Arree 1956 dettyl mee ersooyl voish Ellan my ghooie gys y cheer yoarree shid.,In February 1956 I flew away from my native Island to that foreign country.,
"Laa feayr sniaghtee v’eh as daa laa lurg shen va mee gollish ayns Aerphurt Livingstone as giu lhune feayr ec y voayrd coontee ’syn aerphurt as, myr yiarragh Ned Maddrell, “Yn ollish roie sheese clash my hoyn.”","It was a very snowy day and two days after that I was sweating in Livingstone Airport and drinking very cold beer at the counter in the airport and, as Ned Maddrell would say, “The sweat running down the crack of my arse.”",
"Va mee dy jarroo my yoarree ayns cheer yoarree, bunnys queig thousane meeilley voish Ellan My Chree, my lomarcan as gyn monney argid ayns my wallad as my ven faagit my yei ayns y thie v’er mayl ain ayns Kione Droghad.","I was indeed a stranger in a strange land, almost five thousand miles from the Island of my heart, alone, without much money in my wallet with my wife left behind me in the house that we were renting in Onchan.",
,,
Hie mee ersooyl er y fa nagh row obbyr chooie erbee ry-gheddyn ayns Mannin ec y traa shen as va ny smoo na thousane deiney ’syn Ellan er y chooney-ashoonagh.,I went because there wasn’t any suitable work available in the Isle of Man at that time and there were more than a thousand men in the Island on ‘national assistance’ (the dole).,
Va ny deiney ass obbyr cliaghtey shooyl trooid Doolish ayns famman mooar as cowraghyn oc as scruit orroo “Ta shin laccal obbyr.”,The men who were out of work used to walk through Douglas in a long tail (line) with “We want work.”,
