Manx,English,Notes
Fockle Ayns Dty Chleash,A Word in Your ,
"S’mie lhinyn dy mennick smooinaghtyn orrin-hene myr ashoonee jeh’n ashoon Vanninagh. Ta shin shieltyn dy vel nyn ashoon ny h-ashoon er-lheh, dy bollagh anchasley rish ny Sostnee, as eer anchasley rish ashoonyn nyn vir-mooinjerey Gaelgagh. ","We like to often think of ourselves as nationalisits of the Manx nation. We suppose that our nation is a special nation, completely different to the English, and even different to the nations of our Gaelic relatives. ",
"Dy jarroo, ga dy re beg shin, she ashoon er-lheh shin, goaill nyn ynnyd mastey ashoonyn yn theihil.","Indeed, although we are small, we are a separate nation, taking our place amongst the nations of the world.",
"Blein ny ghaa er-dy-henney, tra va Reihys Cadjin goll er cummal ayns y Reeriaght Unnaneysit, va mee jeeaghyn er Ludowic Kennedy er y chellveeish, as eshyn taggloo mychione ny Sheshaght Ashoonagh Albinagh (S.A.A.).","A year or two ago, when there was a General Election being held in the United Kingdom, I was watching Ludowic Kennedy on the television, and he was talking about the Scottish National Party (SNP).",
"V’eh gra dy vodmayd cur enney er ashoon voish tree nheeghyn. Hoshiaght, ta shennaghys er-lheh echey; nah, ta cultoor er lheh echey, as trass, t’echey chengey er-lheh.","He was saying that we can recognise a country from three things. First, it has a separate history; second, it has a separate culture, and third, it has a separate tongue.",
"Fy yerrey, by vian lhiam cur nhee elley. Ta mee credjal dy n’egin da ashoonee jeh ashoon gennaghtyn spyrryd-ashoonagh ayns nyn greeaghyn as soilshaghey magh yn voyrn ashoonagh oc trooid jallooghyn dy ’eniee, troggallyn stoamey, moir-agglishyn aalin, abbyr raad ta oanluckit kirp ny Reeghyn as treanee oc. ec dagh ooilley ashoon ta brattaghyn er-lheh, sidooryn jesh-chliaghtagh, kiaull ashoonagh ooasle.","Finally, I would wish to give another thing. I believe that nationalisits of a nation must feel a national spirit in their hearts and explain their national pride through images (statues?) of heroes, grand buildings, beautiful cathedrals, that will say where are buried the bodies of their kings and heroes. Every nation has its individual flag, ceremonial soldiers, noble national music.",
"     Dy jarroo t'eh myr by vian lesh sleih yn ashoon dy chur, ayns aght so-akin as so-chlastyn, prow dy vel yn ashoon oc ny h-ashoon ooasle as moyrnagh. As mannagh chreidys oo mee, gow gys Lunnin, ny Paris, ny Washington as jeeagh. ","     Indeed, it is as if the people of the nation would wish to give, in an easily visible and audible way, proof that their nation is a noble and proud nation. And if you don’t believe me, go to London, or Paris, or Washington and look. ",
"As ayns aght ny s'fastee, fowee shiu yn red keddin ayns Divlin, ny Doon Edjin. Ayns ny ard-valjyn ooilley shoh, cha noddys ve ourys ec peiagh erbee dy re kione-valjyn t'ad ec ashoonyn moyrney.","And in a more descreet way, you will find the same thing in Dublin, or Edinburgh. In all these cities, no one can have any can doubt that they are catpitals of proud nations.",
"     Ayns Mannin, myr dooyrt mee roie, ta shin smooinaghtyn orrin-hene myr ashoon beg agh er-lheh. ","     In the Isle of Man, as I said before, we think of ourselves as a small but independent nation. ",
"Ta shennaghys er-lheh ainyn, as cultoor as chengey myrgeddin, gyn scansh da ooilley ny eabbyn ec ny Sostnee barbaragh sleih-marroo as ny Quislingyn Manninagh oc dy stroie shin as dy ghoaill er-sooyl nyn eiraght.","We have a separate history, and a culture and tongue too, without importance for all the efforts of the barbarous English dead people and their Manx Quislings to destroy us and to take away our inheritence.",
