Manx,English,Notes
"EC CANT liorish Braaraghyn Chrystal ayns Rhumsaa er-y-gherrit, chionnee mee shiartanse dy lioaryn, lioaranyn as duillagyn, goaill stiagh “Juan Doo, Shiaulter”. ","At an auction by Chrystal Brothers in Ramsey recently, I bought several books, booklets and pages, including “Juan Doo, Shiaulter” (“Black John, Sailor”). ",
"S’foddey neayr’s lhaih mee yn skeeal shoh, as cha row monney Gaelg aym ec y traa shen. ","It’s a long time since I read this story, and I didn’t know much Manx at that time. ",
"Dy jarroo va mee strepey lesh yn chengey ayns ny laghyn shen, as shirrey dagh nah ’ockle ayns my ’ockleyr.","In fact, I was struggling with the language in those days, and searching for every second word in my dictionary.",
"Aghterbee, lhaih mee yn lioar reesht as va yindys orrym fakin yn Gaelg aalin aynjee. ","Anyway, I read the book again and I was amazed to see the beautiful Manx in it. ",
Ta’n aght jeh screeu cho flaoil as berchagh dy by chair jee ve er ny aachlou cho leah as foddee.,The way of writing is so fluent and rich it rightfully should be reprinted as soon as is possible.,
"     Dy jarroo, tra scuir mee dy smooinaghtyn er, shimmey skeealyn t’ayn by chair daue ve er nyn aachlou as aa-chur magh.","     Indeed, when I stopped to think about it, many are the stories that should be reprinted and re-issued. ",
"Foddee lhisagh yn nah chur-magh ec yn cheshaght ve ny lioar skeeaylyn, goaill stiagh ymmoddee skeeaylyn beggey voish ooilley ny ymmoddee lioaranyn as duillagyn ta er ve currit magh ayns ny bleeanyn ’er n’gholl shaghey.","Maybe the society’s second edition should be a book of stories, including many little stories from all the many booklets and pages that have been published in years gone by.",
      As nish red ennagh dy bollagh anchasley. ,     And now something completely different. ,
"Nish dy vel yn Ghaelg aavioaghey ayns nyn ellan, as ta tooilley sleih goaill toshiaght gynsaghey yn Ghaelg, ta ram dooilleeidyn troggal nyn ging.","Now that Manx is reviving in our island, and there are more people starting to learn Manx, there are many difficulties ‘raising our heads’.",
Ta’n laad-obbree er geayltyn fir-oik ny sheshaght ro hrome daue.,The workload on the shoulders of officers of the society is too heavy for them.,
"(Er y fa shen, ta feme ain er cooney voish yn Reiltys).","(Therefore, we need help from the Government).",
As ta feme ain dy yannoo ymmyd smoo jeh’n ghlare ayns nyn vea gagh laa. ,And we need to make more use of the language in our lives every day. ,
"Agh, harrish ooilley, shegin dooin ve kiarailagh gyn dy cur er ny Sostnee, ny Baarleyryn Manninagh, gennaghtyn er nyn maggyrt.","But, above all, we must be careful not to make the English, or English speaking Manx people, feel threatened.",
"Choud as ta shin shooyl er nyn doshiagh, shegin dooin lieh-lhie er-nyn-gooyl lesh ny Baarleyryn.","Whilst we are walking ahead, we must lean backwards towards the English speakers. ",
"Ny slooid dy jeanmayd shoh, irree noidys mastey ny Baarleyryn as vees shen sie da’n ghleashaght.","Unless we do this, enmity will arise amongst English speakers and that will be bad for the movement.",
"      Myr shen ga dy n’egin dooin cummal creoie as lajer er nyn raad, shegin dooin dy kinjagh cooinaghtyn dy vel ellynyn-mie yn aght share dy chosney creeaghyn. ","     So, although we must keep hard and strong on our way, we must always remember that good-manners is the best way to win hearts. ",
