Manx,English,Notes
"Chionnee mee lioar da my phaitçhyn mee ny ghaa er dy henney, mychione ny feniee theayagh ayns ny h-ellanyn Goaldagh as aynjee ta skeeayl mychione Finn Mac Cooil.","I bought a book for my children a month or two ago, about the folk heroes in the British Isles and in it there is a story about Finn Mac Cooil.",
Agh ayns raa-foslee yn skeeayl ta reddyn ta mee sheiltyn [dy] by vie lhiu lhaih.,But in the introduction of the story there are things that I guess you would like to read.,
" Er-y-fa shen, ta mee er jyndaa eh gys yn Ghailck as er-hoh yn raa-foslee."," Therefore, I have translated it into Manx, and here is the introduction.",
"“Ta Finn mac Cooil, ny Fingal myr t’eh enmyssit ny keayrtyn, ny ’eniagh mooar ec ny Gaelgeyryn, as shynney lesh ny h-Albinee as Manninee eh wheesh as lesh ny Yernee.","“Finn mac Cooil, or Fingal as he is called sometimes, is a great hero of the speakers of Gaelic, and the Scottish and Manx like him as much as the Irish do.",
"Ga dy vel yn boayl jeh ny treanidyn echey hoshiaght ayns yn Erin, ta ram enmyn-buill, as adsyn[1] kianlit dasyn, as da e cho-heshaghyn, er nyn skeayley dy lane harrish cheer sleitagh[2] as Oirr ny Gael, ta aarey dy chesmadyn creggagh enmysit ‘Ny Greeishyn ’Ingal’.","Although the place (location) of his exploits are at first in Ireland, there are many placenames that are connected to him and to his partnerships spread fully over over the Highlands and Argyle, (for instance) there is a ladder of rocky steps called ‘Fingal’s Steps (or Stairs)’.","[1] as adsyn] Here, the intended meaning is evidently ‘that are’. [ta] would be expected here. (In Classical Manx [as adsyn is usually found in phrases such as [as adsyn ta ...] ‘and those that are ..’.]
[2] cheer sleitagh] ‘mountainous land’ —a calque on ‘the Highlands’. ‘The Scottish Highlands’ is more usually translated during the late 20th C as ‘Gaeltaght ny hAlbey’. "
"Er [yn] Ellan Skianagh, ayns Keeil Voirrey (ayns y Vaarle ‘Kilmuir’), ta kiaddaghys creggey casley rish boal, roie seose ughtagh ta bunnys jeeragh, enmyssit ‘Boal ny Fianna’.","  On the Isle of Skye in St Mary’s (in English ‘Kilmuir’), there is a rock formation that looks like a wall, running up a slope that is almost straight, called ‘The Wall of the Fiana’ (‘Garadh na Feinne’ in Scottish Gaelic).",
"As ec kione logh Phurt Ree (ayns y Vaarle Loch Portree), ta slieau ayn enmyssit ‘soiag ’Ingal’.","And at the end of Loch Portree, there is a mountian called ‘Fingal’s Seat’ (‘Suidh Fhinn’).",
"As er Staffa ta’n ‘ooig ’Ingal’ ardghooagh, ren ard-smooinaght y choyrt er Mendlessohn ry hoi yn Overture echey.","And on Staffa there is the famous cave of Fingal, that inspired Mendlessohn for his Overture.",
,,
T’eh goll er sheiltyn dy cadjin dy ren Finn as e gheiney beaghey ayns y trass cheead A.D., It is generally supposed that Finn and his men lived in the third century A.D.,
