Manx,English,Notes
"YN SHIAGHTIN shoh chaie hooar mee screeuyn voish Ean y Keylley (ny Ean Wood), by gooin lesh kuse jiu dy vel eh ny oltey jeh M.A.S.A.W., as ren eh co-screeu lesh Doolish y Karagher tammylt beg er dy henney mychione ny Gaelgey ayns ny collooghyn jeh Brialtagh Vannin.","This last week I received a letter from Ian Wood, some of you would remember that he is a member of M.A.S.A.W., and he corresponded with Dougie Fargher a little while ago concerning Manx in the columns of the Manx Examiner.",
"She shenn charrey aym eh (d’obbree shin lesh-y-cheilley er ny cabbyl-charryn er Shooylaghan Ghooilsh tra va shin nyn studeyryn), as ga dy vel beeal vooar echey, ta’n cree echey ayns y voayl kiart, as t’eh ny Manninagh dooie voish Purt-ny-h’Inshey gollrhym-pene.","He is an old friend of mine (we worked with each other on the horse-trams on Douglas Promenade when we were students), and although he has a big mouth, his heart is in the right place, and he is a true Manxman from Peel like myself.",
" Ayns e screeuyn, t’eh gra:—","In his letter, he says:—",
"“Dy row eh foddey voym dy ghreinaghey eab erbee dy aavioghey yn chengey Gaelgagh barbaragh, agh er-lhiam dy beagh symm ayd er yn ‘photostat’ marish shoh, foddee nagh vel oo er n’akin.","“That it is far from me to encourage any attempt to revive the barbarous Gaelic tongue, but I think you would be interested in the attached ‘photostat’, that you may not have seen.",
"“Hooar mee yn pabyr bunneydagh tra va mee ronsaghey ny recortyssyn jeh’n Cheshaght Vible Ghoaldagh as Joarree, as shirrey screeunyn mychione yn chur-magh jeh’n Vible Vanninagh ayns 1819.",“I found the original paper when I was researching the records of the British and Foreign Bible Society and searching for letters about the publication of the Manx Bible in 1819.,
"Er cooyl yn phabyr ta chyndaays ayn as ga nagh vod yn earroo-hraa ve er ny chronnaghey, shegin da ve voish mysh yn traa shen.","On the back of the paper there is a translation and although the date cannot be discerned, it must be from about that time. ",
"“Voish screeuyn ayns ny recortyssyn ro-imraait, currit gys yn cheshaght voish yn Arrymagh Thomas Stephen, jeh Marooney, as earrooit 8oo Lhuanistan 1812, ta mee cur aaraa","“From a letter in the aforementioned records, sent to the society from the Reverend Thomas Stephen, of Marown, and dated the eighth of August 1812, I give a quotation",
"“Va daa ’housane vacliooar dy lioaryn padjer Gaelgagh ain, clouit liorish stoyr-argid voish yn Cheshaght son coyrt er-y-hoshiaght tushtey Chreesteeagh.","“We had two thousand copies of Manx prayer books, printed by means of a financial fund from the Society for Promoting Chrisitian Knowledge.",
"Tannee lieh ny lioaryn dy bragh gyn ymmyd, er y fa nagh vel peiagh erbee kiarail ny briaght my-nyn-gione.","Half of the books remained forever without use, because no one cared or asked about them.",
"Ta ny dellalyn co-chionnaghtal jeh’n cheer beg shoh bishaghey dagh laa, as ta shoh jannoo yn Vaarle dy ve chengey ny smoo ymmydagh.","The trade dealings of this little country increase every day, and this makes English the more useful language.",
