Manx,English,Notes
"Fastyr dy row, mysh kegeeish er dy henney, yeeagh mee er cloie er yn chellveeish, enmyssit “Yn Cheviot, yn Feeaih, as yn Ooil ghoo, ghoo.”[1]","One afternoon, about a fortnight ago, I watched a play on the television, called “The Cheviot, The Stag, and the Black, Black Oil.”","[1] Yn Cheviot, yn Feeaih, as yn Ooil ghoo ghoo] This is evidently ‘Play for Today’ production of the play “The Cheviot, the Stag and the Black, Black, Oil” written by J. McGrath and broadcast by the BBC on June 6th 1974. Its theme is the economic exploitation of Highlands and cultural and economic destruction of its Gaelic communities from 1746 to 1974. Branlaadagh chooses [feeaih] ‘deer’, rather than [dow] ‘stag’. [ooil] / [ooill] ‘oil’ is considered to be a masculine noun elsewhere in the corpus, so [ooil doo, doo] would be expected here."
"Cha row eh ny chloie dy firrinagh, er y fa dy row eh coontey jeh’n shennaghys traartyssagh ec ny deiney mooinjerey ain ayns Gaeltaght ny h-Albey.","It wasn’t truly a play, because it was an account of the desolating history of our kinsmen in the Scottish Highlands.",
Ga nagh vel shin er surral wheesh as adsyn ta ram lessoonyn ayn dy ve ynsit ain.,"Although we haven’t suffered as much as them, there are many lessons to be learnt by us.",
" Ta pooar harmaynagh yn phooar smoo scanshoil[2], as ayns cosoylagh lesh[3] pooar pholiticagh, t’eh pooaral er-bastal. Ec y traa t’ayn, ta ny cairyn ooil ec Mannin er ve currit da Sostyn son rheynn jeh ny keeshyn voish ooil ayns y Reeriaght Unnaneysit. Ta Ooilley yn pooar harmaynagh nish ec ny Sostnee. ","Economic power is the most important power, and in comparison with political power, it is exceedingly powerful. At the present time, the Isle of Man’s oil rights have been given to England for a share of the taxes from oil in the United Kingdom. The English now have all the economic power. ","[2] Ta pooar harmaynagh yn phooar smoo scanshoil] ‘Economic power is the most important power’ — NB: [pooar] is a masculine noun in Classical Manx. It is usual in Manx to use the following type of construction when the head noun is being coupled with a definite noun; [She yn pooar smoo scanshoil ta pooar ta tarmaynagh]. 
[3] ayns cosoylagh lesh] ‘in comparison with’. [ayns cosoylagh rish] ‘in comparison to’ would be expected here."
Vel eh shoh samplear[4] reesht jeh “cha nel Ny Manninee Creeney gys y laa lurg y vargey?”,Is this an example again of “The Manx aren’t wise until the day after the market (fair)?”,[4] samplear] [sampleyr] ‘sample’ / ‘example’
"Ansherbee, ta mee credjal dy vel shiartanse dy leih ronsaghey ayns yn[5] chooish shoh, as foddee dy bee colloo ayns pabyr-naight leah dy liooar.","Anyway, I believe that several people are researching in this matter, and maybe there will be a column in a newspaper soon enough.",[5] yn] original gives [the] in error.
"Ta mee er n’gheddyn er-y-gherrit screeuyn voish Chalse mac Guard, ta cummal ayns yn Erin ec y traa t’ayn.","I have recently received a letter from Charles Guard, who lives in Ireland at the present time.",
Bee fys eu er yn aght hooar eh yn aundyr s’ardjey son cloie yn cruit ayns Keeill Airney ec yn Shiaghtin Celtiagh ayns shen. ,You will know how he received the highest award for playing the harp in Killarney at the Celtic Week there.,
"T’eh gra, “Myr dy kinjagh, va Ellan Vannin laccal dy mooar cooney as sleih.","He says, “As always, the Isle of Man was greatly lacking help and people.",
"Ta’n sleih Kernagh jannoo reddyn mooar, as car ny feailley, hug ad Oie Chernagh, aynsyn yeeagh ad fillymyn, as ghow ad arraneyn, as hug ad taishbyn jeh gleck Kernagh as, fy-yerrey, va dagh ooilley pheiagh gee Berreenyn Kernagh.”","The Cornish people are doing great things, and during the festival, they gave a Cornish Night, in which they showed films, and they sang songs, and they gave a display of Cornish wrestling, and finally, everyone was eating Cornish cakes.",
Lhig dooin ooilley smooinaghtyn mannagh vodmayd goll gys Keeill Airney yn Vlein shoh cheet.,Let us all think if we cannot go to Killarney this coming year. ,
Foddee dy vel kuse jiu er n’akin ny feaillereyn noa goll er creck ayns ny shappyn.,Maybe some of you have seen the new calendars being sold in the shops.,
"She son 1975 t’ad, as va mee goaill yindys fakin ad cho moghey.","For 1975 they are, and I was amazed to see them so early.",
"Dy jarroo, ta beauid yn vioys bishaghey dy kinjagh coyrt cheb er ceau yn vea ain roish my vel[6] shin er veaghey ee. Ny yeih, she aalin yn feaillere noa[7], as gyn ourys, t’eh yn kied feaillere goll er creck son 1975.","Indeed, the ever increasing speed of life bids us spend our life before we have lived it. Nevertheless, the new calendar is beautiful, and no doubt, it is the fisrt calendar being sold for 1975.","[6] roish my vel shin er] ‘before we have‘ — [roish my vees shin er] would be expected here.
[7] she aalin yn feaillere noa] ‘the new calendar is beautiful’. As the copular verb [she] does not precede an adjective or preposition, unless it is intended to demonstrate contrast, the expected construction here would be [Ta’n feaillere noa aalin] ‘the new calendar is beautiful’."
BRANLAADAGH.,BRANLAADAGH.,
,,
,,
,,
,,
,,
,,
,,
,,
,,
