Manx,English,Notes
Skeealyn Ass Ellan Arran,Stories from The Isle of Arran,
VA DOOINNEY ard-ghooghyssagh ayn bleeantyn er dy henney nish as vagh eh ec  balley v’eh ruggit as troggit ayn enmyssit Banlickan er cheu heear yn ellan noi Kion-cheerey (Kintyre). ,"There was a very famous man, many years ago now, and he lived at a farm he was born and raised in called Banlickan on the west side of the island facing Kintyre. ",
"She John Sillars yn ennym ersyn[1], agh yiarragh ad Shoanie Lespie rish sy Ghaidhlig, as yinnagh eh staulkal as shelgey da Duchess Vontrose (va ny chiarn er yn ellan ec y traa shen) son e churrym. ","John Sillars is his name, but they would call him Shoanie Lespie in Gàidhlig (Scottish Gaelic), and he would stalk and hunt for the Duchess of Montrose (who was lord of the island at that time) for his duty. ","[1] She John Sillars yn ennym ersyn] ‘It is John Sillars the name on him (emphatic)’. In the traditional language this sentence is understood as ‘It is John Sillars (and not any other name) was his name (and not someone else’s)’, The use of this construction, rather than the expected [V’eh / T’eh enmyssit John Sillars].’He was / He is called John Sillars’ indicates this story is part of a longer narrative.   "
"T’ad  gra dy by warrag eshyn[2] as yinnagh eh spotchyn-obbree er ny deiney, as myr shen dy vel ram skeealyn goll mygeayrt eer yn laa t'ayn jiu my-e-chione.","They say he was a wit and he would make practicle jokes on the men, and so there are many stories going around about him even these days.","[2] dy by warrag eshyn] Evidently ‘that he was a wit’. Here the witer is using [dy by] as the dependent form of [by] / [b’] found in Manx as the past or conditional of the copula verb [’s] — although it is not usually considered generally productive. In traditional Manx neither [’s] or [by] / [b’] are used before a noun, where we find instead  [she], or a zero copula, and always with an accompanying agreement. It seems that the writer here is using [dy by]  as the dependent of [she], where [dy re] / [dy nee] is expected, although [warrag] here is not fronted, or is not an essential condition, so we would expect [dy row eh ny warrag], or [dy row eh warrag]."
"Ansherbee, tra v'eh aeg as cummal ec Ard Vanlickan, yioghe eh eddryman ny bleddyr muickey as verragh eh stiagh ayn palchey dy phishyryn chirmit tra veagh eh bog, as eisht heidagh eh ennal ayn myr dy beagh eh gollrish mollag-aeragh eisht lhigagh eh dasyn chirmagh.","Anyway, when he was young and living at Ard Vanlickan, he would find a bladder or pig’s baldder and he’d put into it plenty of dried peas when it would be soft, and then he’d blow breath in it as if it was like an air balloon, then he’d let them dry.",
Tra v’eh chirrym chraagh eh as myr shen yinnagh[3] eh feiyr mooar agglagh as cur [y] drogh er [dy] chooilley ghooinney.,When it was dry he would shake it and like it would make make an awful big noise and annoy every man.,[3] yinnagh] original gives [dy jinnagh]
"Oie dy row hie eh lesh shilley er e naboo Angus Donnell va baghey heese y raad ayns Banlickan Injil as va ceilidh as dram ny ghaa goll, as tra haink yn oor dy gholl thie, dooyrt eh rish Angus dy row eh fo aggle goll thie sy dorraghys as hirr eh er cheet marish paart jeh'n raad. ","One night he went to visit his neighbour Angus Donnell who was living down the way in Lower Banlickan and there was a ceilidh and many a dram going, and when the hour came to go home, he said to Angus that he was afraid of going home in the dark and he asked him to come with him some of the way. ",
"Shen ren eh, as erreish daue roshtyn yn “Clach Biorach” (Clagh Birragh) mysh lhieh-raad heose, dooyrt Shoanie dy re ayns stayd ny share[4] v'eh, as beagh eh kiart dy liooar goll gyn cooney erbee ny sodjey.","That is what he did, and after they arrived at the “Clach Biorach” (Sharp Pointy Stone) about half-way down, Shoanie said that it was in a better state, and it would be okay to go without any help further.",[4] stayd ny share] [stayd share]
"Lurg da cur yn oie vie er e naboo, hrog Shoanie yn eddryman va er follaght er cooyl ny cloaie ayns |shen, as ghow eh toshiaght shen y chraa as y chlabberey, as v’eh feiyral dy mooar gollrish gunney-jeshaght as hug eh aggle er Angus as eshyn tuittym sheese ayns towl cray rish yn raad.","After wishing his neighbour goodnight, Shoanie lifted the bladder that was hidden behind the stone there, and he started to shake and rattle that, and it was making noise greatly like a machine-gun and it frightened Angus and he fell down in a clay hole along the way.",
"Tra rosh eh thie cha row red erbee ry chlashtyn voish agh ""Jee bannee mee, yn guilley boght, nhee ennagh quaag!""","When he arrived home nothing was audible from him but “God bless me, the poor boy, something strange!”",
