English,Manx,Notes
Welcome to the FWAG Association 46th Silver Lapwing Award,Failt erriu dys yn çheyoo as daeedoo Aundyr Eairkan Argid jeh’n Çheshaght dy Phossanyn Coyrlee son Bea-Feie as Eirinys,
Wednesday 18th June 2025,Jecrean yn hoghtoo laa jeig jeh Mee Veanagh y Touree 2025,
"Ballagawne Farm, Ballabeg, Isle of Man, IM9 4PD","Balley Gawne, Balley Beg, Mannin IM9 4PD",
"An Introduction to Ballagawne Farm, David & Rob Cooil Host & Silver Lapwing Winner 2024.","Cur yn balley-hallooin Balley Gawne er enney, marish David as Rob Cooil, nyn guirreyderyn as cosneyderyn Aundyr Eairkan Argid 2024.",
David took over the farm in 2010. He farms in partnership with his brother Rob. Over the years David has tried to farm more sustainably with nature and his family at the forefront. Sometimes just small changes can have the biggest impact and have encouraged them to make bigger changes.,"Ghow David ayns laue curmyn yn valley-hallooin ayns y vlein 2010. T’eh geirinagh ayns boodeeys marish e vraar Rob. Car ny bleeantyn ta David er streeu dy eirinagh er aght ta ny smoo so-hassooagh as dooghyssagh as ta cur yn scansh smoo er e lught-thie. Ny cheayrtyn foddee caghlaaghyn beggey jannoo eiyrtys mooar, as t’ad shoh er ghreinnaghey ad dy yannoo caghlaaghyn smoo.",
"They farm 640 acres split between 3 farms. BALLAGAWNE, BALLACREGGAN and BALLAKILPHERIC encompassing 50 acres of coastal & upland scrub and wetter “Gareys” and the Colby River valley, providing a range of habitat for nature.","T’ad geirinagh 640 acyr ta er ny rheynn mastey 3 baljyn-thallooin. BALLEY GAWNE, BALLEY CREGGAN as BALLEY KEEILL PHERICK, goaill stiagh lieh-cheead acyr dy reeastane er y clyst as er thalloo ard as “gareeyn” s’fliughey, as glion Awin Colby, ta kiarail caghlaaghyn keint dy oayl cour beiyn as lossreeyn.",
Cropping 2025:,Bhir 2025:,
43 acres spring barley,43 acyryn dy oarn yn arree,
22 acres spring oats for whole crop,22 acyr dy chorkey yn arree son yn slane vaair,
25 acres of rape/kale hybrid for winter grazing,25 acyryn dy reap/caayl crosh-sheelragh cour yndyr geuree,
Barley stubbles are either reseeded with a high clover/herbal ley or cover crops are planted to keep growing roots in the soil.,Ta stubbyl yn oarn eddyr goll er aachuirr lesh pastyr ard jeh shamragyn/caghlaaghyn keint dy luss ny ta bhir coodee er nyn soiaghey dy yannoo shickyr dy vel fraueyn tannaghtyn dy aase ayns yn ooir.,
Milking 220 cows on a split block calving system.,Blieaun: 220 booa er corys brey daa-earishagh.,
Calving 160 spring calving starting in early February and 60 autumn calvers start in early September.,Brey Lheiy: 160. Ta brey arree goaill toshiaght ec toshiaght y Chied Vee jeh’n Arree as ta 60 breyder fouyr goaill toshiaght ec toshiaght Mee Veanagh yn Ouyr.,
"The cows are milked on an alternative milking system of 3 in 2. Yield is around 4600L at 4.9 FAT, 3.7 PROTEIN and scc 140. Cows are milk recorded and the best cows are bred to sexed semen to produce replacement heifers. The remainder of the herd are bred to high beef index Angus bulls then Stabiliser and Angus sweeper bulls are used to keep a tight 9-week calving block. Calves are reared as either replacement heifers or fattened for beef. They are all grazed for as much of the year as possible on a rotational grazing system. Faecal egg counts are taken throughout the grazing season with a view to reducing anthelmintic use to a minimum to prevent any harm to dung beetles etc.","Ta ny booaghyn goll er blieaun three keayrtyn dagh daa laa. Ta’n troar mysh 4600L lesh 4.9 SAHLL, 3.7 PROTEEN as 140 coontey killag somatic. Ta ny booaghyn as yn bainney goll er recortyssey as ta ny booaghyn share goll er sheelraghey lesh sheel keintyssit dy yientyn colbeeyn noa. Ta cooid elley yn ghriagh goll er sheelraghey lesh terriu Angus as ayndagh feill-vart ard oc as eisht ta ymmyd jeant jeh terriu Stabiliser as terriu skeabeyder Angus dy ‘reayll block çhionn dy nuy shiaghtinyn cour brey. Ta ny lheiyee troggit myr colbeeyn dy ghoaill ynnyd ny shenn vooaghyn ny t’ad beiyt son feill-vart. T’ad ooilley gyndyr son wheesh jeh’n vlein as ta jeantagh lesh corys yndyr çhyndaaee. Ta coontaghyn jeant jeh oohyn ayns y toarey fud yn imbagh yndyr son dy yannoo ymmyd sloo jeh anthelmintic dy haghney jannoo skielley da deyllyn eoylley etc.",
"All land is soil tested approximately every 3 years. Lime and P and K applied to correct any shortfalls. Actively trying to reduce the amount of nitrogen we use whilst maintaining grass production. Reseeding is carried out as and when necessary, based mostly on grass measuring data and weed burden etc. We use a combination of over seeding, direct drilling or full plough and reseed. Trying to incorporate clover and starting to look at multiple species swards to become more resilient to drought and heavy rainfall and being as self-sufficient as possible. Soil health and livestock management form the heart of the business with David having a particular interest in Dung beetles. He organised for Sally Anne Spence and Rob Howe to come to the Island to deliver workshops to raise awareness of Dung beetles and help other farmers improve management to minimise harm to them and enhance their soil biology.","Ta prowallyn ooirey er nyn yannoo er ooilley yn thalloo mysh dagh 3 bleeaney. Ta Eayl as Phosphor as Potassium er ny choyrt dy chiartaghey ooir nagh vel troaragh dy liooar. Ta shin prowal dy leodaghey yn mooadys dy nitrogen ta shin jannoo ymmyd jeh agh ec y traa cheddin cummal seose gaase faiyr. Ta aachuirr goll er jannoo tra t’eh ymmyrçhagh, soit er fysseree towse faiyr as errey yn trustyr dy lossreeyn etc. Ta shin jannoo ymmyd jeh co-chiangley jeh ro-chuirr, cuirr gyn traaue ny traaue as aachuirr. Ta shin prowal dy chur stiagh shamragyn as goaill toshiaght dy yeeaghyn er foainyn lesh ymmodee keintyn dy heet dy ve ny s’aa-lhiemmagh noi çhirmagh-loshtee as fliaghey trome as ve cha hene-haieagh as ta possibyl. She slaynt ooirey as reirey maase cree yn dellal as ta David cur scansh er lheh er deyllyn eoylley. Ren eshyn reaghey da Sally Anne Spence as Rob Howe dy heet dys yn Ellan dy yannoo keirdlannyn dy vishaghey tushtey mychione deyllyn eoylley as cooney lesh eirinee elley nyn reirey y yannoo ny share son dy leodaghey skielley da ny deyllyn as dy yrjaghey bea-oaylleeaght yn ooir.",
"Since adopting a more regenerative approach to farming, the wildlife observed around the farm is increasing year on year including greater numbers of songbirds, hen harriers and kestrel. Notable plant life rediscovered in one of the Garey meadows at Ballagawne, is the rare skull cap believed by botanists to have been extinct for approx 142 years on the Island! David is currently a director of Isle of Man Creamery, the local farmer owned dairy cooperative who focus on “Grass Fed”. The farm hosts multiple farm visits from the local Arbory school, where David is the Chairman of the School Governors. Visits to the farm include an area set aside for a forest school for the local primary pupils.","Neayr’s ghow ad toshiaght dy eirinagh er aght smoo aaghiennaghtagh, ta’n vea-feie cronnit mygeayrt y valley-hallooin bishaghey dagh blein, goaill stiagh earroo smoo dy ushagyn kiaullee, shirree ny giark as stannairyn ruy. Bea losseragh feeu tastey t’er ny geddyn magh reesht ayns nane jeh ny lheeantyn Garee ec Balley Gawne, shen yn coghyl-boglee goan va luss-oaylleeyn credjal dy ve mooghit rish mysh 142 vlein er yn Ellan! Ta David ny stiureyder ec y traa t’ayn jeh Keylann Ellan Vannin, co-heshaght vainney ta lesh eirinee ynnydagh ta cur tastey er lheh da beaghey ny beiyn lesh faiyr. Ta’n balley-hallooin goltaghey paitçhyn veih’n vun-schoill ynnydagh ayns Skylley Chairbre, raad ta David ny chaairliagh jeh kiannoortyn y schoill. Tra ta paitçhyn veih’n vun-schoill ynnydagh cur shilley er y valley-hallooin, foddee ad jannoo ymmyd jeh ard er lheh cour schoill cheylley.",
