English,Manx,Notes
Introduction,Goan-Foslee,
"The second joint Manx Language Strategy (2022 – 2032) is a ten-year vision for effective, coordinated support for the promotion and delivery of the Manx language. This interim report relates to the second year of the strategy.",Ta’n nah Strateysh copharteeagh son y Ghaelg (2022 - 2032) ny ashlish jeih bleeaney son dy chur cooney ta fondagh as ta er ny cho-oardaghey cour cur er e toshiaght as cur ayns bree yn ghlare Vanninagh. Ta’n tuarastyl shallidagh shoh bentyn rish y nah vlein jeh’n strateysh.,
"The second year of the Manx Language Strategy (2022–2032) marks a continued commitment to promoting and delivering the Manx language effectively. Building on the foundations laid in the first year, Jeebin, the Manx Language Network, remains focused on creating a comprehensive, coordinated approach to support the language’s growth and visibility both on the Island and within the wider diaspora, working alongside the many voluntary groups that support the Manx language in diverse ways to achieve this.","She cowrey barrantys kinjagh son cur er e toshiaght as cur magh yn Ghaelg er aght fondagh ta’n nah vlein jeh’n Strateysh son y Ghaelg (2022-2032). As ad troggal er undinyn v’er nyn soiaghey ayns y chied vlein, ta Jeebin, The Manx Language Network, tannaghtyn dy chur tastey er-lheh da croo saase ooilley-ghoaillagh, er ny cho-oardaghey, ta cooney lesh yn ghlare dy aase as yn aght t’ee ry-akin chammah er yn Ellan as fud yn diaspora smoo. Ta Jeebin gobbragh marish ymmodee possanyn dy arryltee ta cummal seose yn Ghaelg ayns caghlaaghyn aght dy chooilleeney shoh.",
"Over the past year, progress has been made towards our strategic focus on raising awareness and enhancing education, with a continued emphasis on making the language accessible to all. This has involved increased efforts to provide wider access to training and the development of new resources, something that has been enhanced by the increasing use of technology for both resource development and access to training. Considerable attention has been devoted to fostering collaboration and aligning projects to develop new both visual and written resources based on identified needs, preventing duplication, and ensuring continuity. This approach has proved particularly effective in resource development across organisations. In addition, the ongoing development of the corpus enables us to explore and gain a deeper understanding of our language.","Car ny bleeaney chaie, va shin goll er nyn doshiaght dy mie lesh yn dean strateyshagh ain ta shen dy ghra dy hroggal toiggal as fys as dy vishaghey ynsagh, as tastey er-lheh er ny choyrt dy kinjagh da jannoo yn ghlare foshlit da dy chooilley pheiagh. Ghow shin ayns laue dy osley traenal da ny smoo dy ‘leih as dy chroo ny smoo couyryn, va shoh er ny vishaghey liorish ymmyd smoo dy haghnoaylleeaght son yn jees oc. Ta tastey vie er ve currit da bishaghey co-obbraghey as çheughey shaleeyn dy chroo chammah couyryn scruit noa as couyryn sooilley noa va soit er femeyn cronnit, shaghney dooblaghey nyn eabyn as shickyraghey sheerid. Ta’n saase shoh er phrowal feer vie dy chroo couyryn tessyn sheshaghtyn. Chammah’s shoh, ta lhiasaghey yn chorpus, ta goll er dy kinjagh, cur caa dooin nyn nglare y ronsaghey as toiggalys s’duiney y gheddyn jee.",
"The Isle of Man hosted a monitoring visit from the European Charter for Regional and Minority Languages Committee of Experts to assess how the Charter is applied within the Isle of Man. This visit was followed by the publication of a monitoring report in June 2024, which outlined a series of recommendations for further consideration which will actioned where possible.","Haink sleih veih Bing Oaylleeyn Conaant Coonceil yn Oarpey son Glaraghyn Ardjynagh as Myn-ghlaraghyn dys Mannin er turrys sessal v’er ny chummal ayns yn ellan dy hessal kys ta’n Conaant goll er cur ayns bree ayns Mannin. Erreish da’n sleih shoh shilley y choyrt er Mannin, va tuarystal sessal er ny choyrt magh ayns mee veanagh y touree 2024, hoilshee rolley dy haaseyn moyllit lhisagh ve er nyn resooney ny sodjey as er nyn goyrt ayns bree raad vees shen possibyl.",
"The progress detailed in this report during the second year of the Manx Language Strategy, along with the strong dedication to future progress, highlight the ongoing commitment to the development of the Manx language. This progress is further highlighted by the collective efforts spearheaded by Jeebin, in close collaboration with the broader language community. Together, these initiatives serve as a testament to the shared responsibility and determination to ensure the sustained growth and vitality of the language in the years to come","Ta’n coontey ta jeant ayns y tuarystal shoh jeh’n aght ta reddyn goll er nyn doshiaght ayns y nah vlein jeh’n Strateysh son y Ghaelg, as marish shen yn jeeanid t’er ny hoishaghey da gleashagh reddyn er nyn doshiaght ny smoo ‘sy traa ry-heet, soilshaghey magh dy vel barrantys kinjagh ayn dy lhiasaghey yn Ghaelg. Ny sodjey, ta’n speeideilys shoh jeant baghtal liorish yn aght ta sheshaghtyn er cho-obbraghey fo stiurey Jeebin, ta gobbraghey marish yn phobble glare cadjin. Cooidjagh, ta ny ventyryn shoh gymmyrkey feanish jeh’n churrym as yn slane-jeeanid ec dy chooilley pharteeas dy hickyraghey aase beayn as speeideilys y ghlare ayns y traa ry-heet.",
Theme 1: Appropriate & accessible resources,Cooish 1: Couyryn cooie ta ry-gheddyn dy haashagh,
Strategic Commitment,Dean Strateyshagh,
"We will encourage the development, publication and promotion of new resources.","Nee mayd greinnaghey croo, cur-magh as cur er nyn doshiaght jeh couyryn noa.",
"We will ensure any developed resources are coordinated, appropriate and of good quality, across all ages and stages.","Nee mayd shickyraghey dy bee couyryn erbee vees crooit er nyn go-oardaghey, cooie as jeh foaynoo mie, bentyn da dy chooilley eash as keim.",
We will work to ensure greater digitisation of Manx Language resources at all levels.,Nee mayd gobbragh dy hickyraghey dy bee tooilley couyryn Gaelgagh currit ayns cummey bun-earrooagh ec dy chooilley cheim.,
Progression,Goll er e hoshiaght,
Mooinjer Veggey’s Resources Officer created an online Leader’s Portal on their website. This is currently only accessible by the Possan Cloie (parent and tots’ group) leaders while it is populated with new resource packs.,Ren Fer-Oik Couyryn Vooinjer Veggey croo Portal Leeideilee er-linney er yn ynnyd-eggey oc. Ta shoh foshlit ynrican da leeideilee y Phossan Cloie (possan son paarantyn as lhiennoo) choud’s ta paggaghyn couyryn goll er chur er.,
The Resources Officer is also currently working with Possan Cloie leaders to create learning materials specifically for the parents of Possan Cloie children with vocabulary targeted at the parents of 0–4-year-olds.,"Ta’n Fer-Oik Couyryn gobbragh neesht marish leeideilee Possanyn Cloie dy chroo stoo-ynsee er-lheh cour paarantyn ta nyn gloan ayns Possan Cloie, as bee yn tasht-fockle jeant cooie da paarantyn cloan ta eddyr 0 as 4 bleeaney dy eash.",
"Mooinjer Veggey has produced several new resources for primary school, preschool and parents.  They have published two series of ‘Early Reader’ chapter books, Orree and Otto, for Bunscoill Ghaelgagh.","Ta Mooinjer Veggey er chroo shiartanse dy chouyryn noa cour bunscoillyn, roïe-scoillyn as paarantyn. T’ad er chur magh daa strane dy lioaryn ‘Lhaihder Aeg’ Orree as Otto, rheynnit ayns cabdilyn, cour yn Vunscoill Ghaelgagh.",
"Bunscoill Ghaelgagh teacher Aalin Clague has written two new series of early readers about Celts and Vikings written in easily decodable text, to follow on from the Orree and Otto books commissioned and produced by Mooinjer Veggey for the school. These are yet to be published","Ta ben-ynsee y Vunscoill Ghaelgagh, Aalin Clague er screeu daa strane noa dy lioaryn lhaihder aeg mychione ny Celtiee as ny Shenn Loghlinee er nyn screeu ayns glare so-hoiggal, ta geiyrt er lioaryn Orree as Otto va er nyn oardaghey as er nyn yannoo liorish Mooinjer Veggey son y scoill. Cha nel ad shoh er ve currit magh foast.",
"Bunscoill Ghaelgagh teacher, Adrian Cain, created a new Manx course for families of Bunscoill Ghaelgagh, entitled Cre ren oo jiu? There is a textbook, accompanying digital content and weekly, in-person lessons supported by a WhatsApp group.","Ren fer-ynsee y Vunscoill Ghaelgagh, Adrian Cain, coorse Gaelgagh noa y chroo cour lughtyn-thie y Vunscoill Ghaelgagh, enmyssit Cre ren oo jiu? Ta lioar-teks ayn, cooid vun-earrooagh ta goll maree, as lessoonyn shiaghtinoil ta ayns-persoon, as possan WhatsApp dy chooney lesh studeyryn.",
Bunscoill Ghaelgagh pupils created new films in Manx and were shortlisted for BBC Alba’s Film G competition for Yn Doour.,Chroo paitçhyn y Vunscoill Ghaelgagh filmyn noa ayns Gaelg as va Yn Doour er ny choyrt er y rolley giare son co-hirrey Film G er BBC Alba.,
"Yn Skimmee Gaelgagh (Manx Language Unit) have further developed their website with Key Stage 2 interactive resources https://manxlanguage.sch.im/. Members of the team have contributed additional digitised searchable materials to the Manx Corpus website, development of an interactive gamified course commencing with using vocabulary from Key Stage 2 to develop speaking, listening, reading, and writing skills.","Ta’n Skimmee Gaelgagh er lhiasaghey nyn ynnyd-eggey ny sodjey trooid cur couyryn eddyr-obbragh cour Ard-Cheim 2 er, https://manxlanguage.sch.im/. Ta oltyn y skimmee er chur ny smoo stoo ayns cummey bun-earrooagh oddys sleih ronsaghey er ynnyd-eggey yn Chorpus Gaelgagh.  T’ad er choo coorse eddyr-obbragh jeant ny ghamman, ta goaill toshiaght lesh tasht-fockle veih Ard-Cheim 2 dy yannoo ny share schleiyn loayrt, eaishtagh, lhaih as screeu.",
"Over the past year, the Manx Language Research Group (MLRG) continued to consolidate its activities with regard to the Manx Corpus website https://corpus.gaelg.im as well as research dissemination and outreach activities. Highlights have included organizing the Ned Maddrell Lecture at the Cooish, and being awarded a £3000 grant from Culture Vannin adding time-stamped transcriptions and translations of Manx language archive recordings to the corpus.","Car ny bleeaney chaie, ta’n Possan Ronsee Gaelgagh er hannaghtyn dy yeeraghey yn obbyr oc er ynnyd-eggey yn Chorpus Gaelgagh https://corpus.gaelg.im chammah’s skeaylley magh obbyr ronsee as cooishyn ta roshtyn magh dys y theay. Mastey ny reddyn cooilleenit dy mie va reaghey Leaght Ned Maddrell ec y Chooish, geddyn toyrtys argidoil jeh £3000 veih Culture Vannin son mac-screeunyn as çhyndaaysyn y yannoo jeh shenn recortyssyn Gaelgagh, cowraghyn-traa y choyrt orroo, as ad y chur ayns y Chorpus.",
"The Manx Corpus website has grown significantly and now contains 2,039,805 words across 750 documents, up from 1,826,332 words and 719 documents last year.","Ta ynnyd-eggey yn Chorpus Gaelgagh er n’aase dy jarroo as nish t’eh cummal 2,039,805 fockle harrish 750 docamadyn, shoh mooadaghey cosoyllit rish 1,826,332 fockle as 719 docamadyn veih nurree.",
