English,Manx,Notes
Cover,Coodagh,Board label in the translation source
Folk Arts and Cultural Policy,Polasee Cultooroil as Ellynyn y Theay,
In the UK’s Nations + Regions and the Isle of Man,Ayns Ashoonyn as Ardjyn yn RU + Ellan Vannin.,
Thursday 10th October 2024,Jerdein yn jeihoo laa jeh Mee S’jerree yn Ouyr 2024,
Image 1,Jalloo 1,Board label in the translation source
Interview & literature findings,Eiyrtyssyn co-akin & lettyraght.,
Policy-making is not simple + circular,Cha nel croo-polaseeyn aashagh + kiarkylagh,
Evidence for Policy isn’t necessarily based on fact. It’s also persuasion and creative storytelling.,Cha nel Feanish cour Polasee dy kinjagh soit er yn ‘irriney. She coyrlaghey as skeealaght chrootagh t’ayn neesht.,
Lack of literature on folk arts + cultural policy,Laccal lettyraght mychione ellynyn y theay + polasee cultooroil,
Arts councils’ remits are so different,Ta caghlaa cha mooar eddyr currymyn coonceilyn ellynyn,
Comparison is very difficult,Ta cosoylaght feer doillee,
Are folk arts mentioned specifically in policy docs? Culture. Art.,Vel imraa er lheh er ny yannoo jeh ellynyn y theay ayns docamadyn polasee? Cultoor. Ellyn.,
If you can point to it you can argue for support,My oddys shiu eh y hoilshaghey foddee shiu resoon y yannoo son shirrey cooney,
Raise the value of all the arts and folk arts will benefit,"My hroggys shiu feeuid ooilley ny hellynyn, nee eh foays da ellynyn y theay",
But they also deserve to be the focus,T’ad toilliu ve yn focus neesht,
Social,Sheshoil,
Wellbeing,Follanys,
Historical,Shenndeeagh,
Arts councils lack specific knowledge,Ta coonceilyn ellynyn gyn fysseree er lheh,
Singers,Arraneyderyn,
Folk musicians,Cloiederyn kiaull y theay,
Folk group organisers,Sleih ta reaghey possanyn kiaull y theay,
Image 2,Jalloo 2,Board label in the translation source
Common ground & areas to explore,Credjueyn cadjin da ooilley & reddyn dy ronsagh,
Diversity in equality legislation,Caghlaays ayns slattyssyn cormid,
Of the protected characteristics ethnicity is a high priority to Arts Council England,Jeh ny troghyn coadit she kynneeaght nane jeh ny reddyn da ta Coonceil Ellynyn Hostyn cur ard-tosheeaght,
But how do we define ethnicity?,Agh kys ta shin meenaghey kynneeaght?,
Unrealistic expectation for organisations to react fast to policy,Jerkallys neuresoonagh son sheshaghtyn dy reggyrt dy tappee da polasee,
At Creative Scotland there’s a broader scope of lived experiences like:,Ec Nalbin Chrootagh ta reayn shlea dy cheeayl chionnit voish bea myr:,
