English,Manx,Notes
,Strateysh son y Ghaelg,Title page; not translated in the original
,Coontey yn Chied Vlein 2022-2032,Title page; not translated in the original
,Jeant aarloo liorish Jeebin - Manx Language Network,Title page; not translated in the original
,Goan-Foslee,Not translated in the original
"The second joint Manx Language Strategy (2022 – 2032) is a ten-year vision for effective, coordinated support for the promotion and delivery of the Manx language.",She ashlish jeih bleeaney ta’n nah Strateysh copharteeagh son y Ghaelg (2022 - 2032) dy chur cooney fondagh as er ny cho-oardaghey cour cur er e toshiaght as cur ayns bree yn ghlare Vanninagh.,
This interim report relates to the first year of the strategy.,Ta’n tuarastyl shallidagh shoh bentyn rish y chied vlein jeh’n strateysh.,
"Jeebin, the Manx Language Network, is made up of language professionals who have worked together with the community to devise the Manx Language Strategy, deliver the action plans, and to produce this report.","Ta Jeebin (Manx Language Network), jeant seose jeh sleih profeshoonagh ta gobbragh lesh y ghlare, t’er cho-obbragh marish y phobble dy chroo yn Strateysh son y Ghaelg, dy chur ayns bree ny plannyn-jantys, as dy chummey yn tuarastyl shoh.",
"Jeebin acts as a coordinating and facilitating network, and individual members also represent many of the voluntary language bodies who support the Manx language in a variety of ways.","Ta Jeebin gaghtey myr moggyl ta co-oardaghey as fosley yn raad, as ta olteynyn er-lheh shassoo neesht son ymmodee jeh ny sheshaghtyn-glare arryltagh ta cummal seose y Ghaelg er caghlaaghyn aght.",
"We are passionate advocates and supporters of Manx, and we share the aspiration of the Manx language community that our language continues to grow in the hearts of more and more people.","Ta shin moylley as cummal seose y Ghaelg er aght jeean as ta’n un yeearree ain as t’ec yn phobble Gaelgagh, ta shen dy ghra dy jean nyn nglare tannaghtyn dy aase ayns creeaghyn ny shlee as ny shlee dy ‘leih.",
"The focus of the very first joint Manx Language Strategy (2017 – 2022) was to work together effectively, coordinating activity to avoid duplication, and to focus on the strategic support needed to develop the use of Manx.","Ayns yn chied Strateysh copharteeagh hene son y Ghaelg (2017 - 2022) va tastey er-lheh currit da ny reddyn shoh: gobbragh cooidjagh er aght fondagh, co-oardaghey obbyr dy haghney dooblaghey nyn eabyn, as cur tooilley geill da’n chooney strateyshagh ta ymmyrçhagh dy vishaghey ymmyd y Ghaelg.",
"Our focus for the 2022 – 2032 strategy is again on awareness and education, and on working together to make the Manx language accessible to everyone, everywhere.","Ayns y strateysh cour ny bleeantyn 2022 - 2032 ta shin cur tastey er-lheh reesht da ynsagh as doostey sym er y ghlare, da gobbragh cooidjagh dy ‘osley magh yn Ghaelg da dy chooilley pheiagh, dy chooilley voayl.",
"It sees an increased focus on training and advocacy, the development of new resources, and the exploration of ambitions for expanded education provision.","Ta’n strateysh shoh cur tooilley geill da traenal as shirrey foayr y theay, da croo couyryn noa, as da smooinaghtyn er ny deanyn s’cooie bentyn da kiarail ynsagh shlea.",
"We want to grow the number of speakers and learners of Manx, on-island and worldwide, and to support the community in using Manx on a daily basis.","B’laik lhien yn earroo dy loayrtee as ynseydee ny Gaelgey y vishaghey, ayns Mannin as feiy ny cruinney, as cooney lesh y phobble dy yannoo ymmyd jeh’n Ghaelg gagh laa.",
"Since the publication of the 2022 – 2032 Manx Language Strategy, Possan Ronsee Gaelgagh (Manx Language Research Group) has become a member of Jeebin, representing the position of Manx within academia.","Neayr’s cur magh y Strateysh son y Ghaelg cour 2022 - 2032, ta Possan Ronsee Gaelgagh er jeet dy ve ny oltey jeh Jeebin, shassoo son y Ghaelg ayns cooishyn ard-schoillaragh.",
"Academic research plays a pivotal role in advancing language development by shedding light on the unique linguistic and cultural nuances of the Manx language, ultimately helping to preserve and promote our rich cultural heritage.","Ta ronsaghey ard-schoillaragh cloie ayrn feer scanshoil ayns cur er e toshiaght lhiasaghey’n ghlare liorish cur gys y toilshey mynphoyntyn unnaneagh glareydagh as cultooroil y Ghaelg, ta cooney lesh freayll as cur er e toshiaght nyn eiraght chultooroil verçhagh.",
It also contributes towards practical resource development.,T’eh cur cooney da lhiasaghey couyryn er aght practicoil neesht.,
"In addition, research on language policy can inform the development of public policy for the language.","Chammah’s shoh, foddee ronsaghey er polasee glare cur fys share dooin mychione lhiasaghey polasee theayagh son y ghlare.",
