Manx,English,Notes
[TO THE EDITOR],TRANSLATION,
"My Charrey Deyr,— (See original article for original spelling).","My Dear Friend,— ",
     Ta mish er scrieu dhyt mychione sheshaght ren meeteil fastyr Jedoonee. ,      I have written to you about a company which met on Sunday evening. ,
"     Haink Dan Uan as Billy Beg gys y thie laccal mish goll mâroo dy chur shilley er Juan, ta beaghey ayns y thie heose. ","     Dan Uan and Billy Beg came to the house wanting me to go with them to see (put a sight on) Juan, who lives in the upper house. ",
"     “Royd lhiat,” dooyrt my ven rhym, “as gow ny laghyn mie choud as t’ad goll. Bee dy liooar feayraght as fliaghey çheet foast.” ","     “Away with you,” said my wife to me, “and take the fine days while they are to be had. There will be enough cold and wet coming yet.”",
"V’eh braew chirrym, as hie shin ooilley cooidjagh. Ny yeih, va ny raaidyn mooarey laae jeh laagh, as s’veg sleih va shooyl. Ayns y magheryn[1] ta’n faiyr glass dy mie er dy chooilley cheu. Cha bee eh goll-rish yn Ollick fegooish red beg jeh[2] sniaghtey as rio— “Ollick glass Rollick roauyr.” ","It was fine and dry, and we all went together. The highways, however, were full of mud, and few persons were walking. In the fields the grass is fresh and green on every side. It will not be like Christmas without a little snow and frost. “A green Christmas brings a fat churchyard.” ","[1] y magheryn] — the use of the singular form of the definite article before plural nouns is common in late 19th C and early to mid 20th C Manx.
[2] jeh] — ‘dy’ would be expected here."
"     Quoi va er y chronk agh Juan eh hene, Joe voish y glion, Illiam Mooar, as Jammey ta jannoo arrane; as quoi ren cheet seose er y chassan agh Bobby yn faasaag, as briaght eh cre red va shin jannoo ayns shoh ooilley ry-cheilley. ","     Who was on the chronk but Juan himself, Joe from the Glen, big William, and James the song-maker ; and who was coming up the pathway but Robby the Whiskers, and he inquired of us what we were all doing here together. ",
"     “Ta shin er cheet cooidiagh,” dooyrt shin “dy ghoaill coyrle (mannagh vel eh ro anmagh as y traa er n’goll shaghey), dy ghoaill schooil cooidjagh—gra, un oie sy chiaghtyn, ayns y chenn ghlare, as dy ynsagh ny paitchyn ayns glare y chenn ayraghyn.”[3]","“We have come together,” we said, “to take counsel together (if it is not too late, and the time gone by), to have a school among ourselves—say, one night in the week—in the old language, and to teach the children in the language of their forefathers.”",[3] glare y chenn ayraghyn] — the use of the singular form of the definite article before plural nouns is common in late 19th C and early to mid 20th C Manx. The ‘standard’ form would be ‘glare ny shenn-ayraghyn’.
"     “Ta shiu jannoo dy mie,” dooyrt Robby. ","     “You are doing the right thing,” said Robby.      ",
"     “Vel y feddan ayd Joe, cur eh dys dty veeal eisht, as cur carr dooin. ‘Tranquility’ (Eaisht sleih!) :— ",      “Is the flute at you. Joe ? Then put it to your mouth and give us a tune. ‘Tranquility.’ (Harken people).” ,
"O Yee Gloyroil, Hood’s ta shin geam,","O Glorious God, to Thee we cry, ",
"Nyn vriw, nyn Ayr, as carrey traa nyn veme, Haualtagh casherick, Ree dy flaunys, ","The Judge, the Father, the Friend in time of need ; ",
Ec dty stoyl-reeoil ta shin coyrt ammys. ,"Holy Saviour, King of Heaven, ",
,At Thy throne we pay our homage. ,
"     “Ta’n maidjey shoh feer cham, ny yeih, nee eh jannoo mie dy-liooar,” dooyrt eh. Eisht hrog eh eh jeeragh syn aer, “ooilley cooidjagh son nyn mioys.” Tra va ooilley yn arrane harrish hie Robby ersooyl. ","     My stick is very crooked, however it will do very well,” he said; then he lifted it straight in the air, saying “All together for your lives.” When the hymn was all over, Robby went his way.",
"     “Ta mee cooinney”[4] dooyrt Billey “dy vel eh goll sooree gys y twoaie. Ta monney mraane aeg sheese bwaagh as aalin, as dy palchey argid, as t’ad toiggal ny share jeh deiney voish y cheu jiass[5]. Eisht ghow Illiam mooar yn chenn lioar as lhaih eh dooin keayrt as v’eh cur soilshey dooin er ny focklyn mooarey as ny raaghyn dowin (te dooiney agglagh son focklyn croutagh). ","     “I am thinking,” Billy said, “that he is going courting to the North. There are many young women down, handsome and comely, (and of plenty of money) and they think more of men coming from the Southside.” Then big William took the old Book (the Bible) and read to us a while, and he was giving us light on the big words and dark sayings. (He is a wonderful man for difficult and uncommon words.)","[4] cooinney— ‘of memory’, likley a mistake for smooinaghtyn, ‘thinking’, or cooinaghtyn, ‘remembering’.
[5] cheu jiass] — ‘cheu yiass’ would be ‘standard’ here."
,,
"     “Te bunnys traa dooin goll sheese gys y thie nish,” dooyrt Juan.","     “It is nearly time for us to go down to the house now,” said Juan. ",
"     “Cha nel monney cloie as mitçhooraght ayns ny paitchyn nish, cha nel caggey erbee goll nish as y vichooraght oie houney ooilley harrish, eer ny guillyn bane cha nel ad cheet nish,” ren Joe gra. ","      “There is not much play or roguishness in the children now. There's no fighting going on now. and the roguish tricks played on Hollantide Eve are all over: even the Whiteboys, they don’t come now,” Joe said.  ",
,,
