Manx,English,Notes
"Ansoor gys y screeuyn currit magh mastey sleih Ghoolish, as cummaltee Vannin, fo’n ennym Mannanagh, as Carrey da ey Heer.","An answer to a letter circulated amongst the people of Douglas, and the inhabitants of Mann, under the name Manxman, and Friend to his Country. ",
Doolish: ,Douglas.,
Prentit Liorish Christopher Briscoe.,Printed by Christopher Briscoe.,
"     Ga nagh vel me laane tââghit er screw sheese my smooinaghtyn, as sthill ny’s neuoâllee er chionney stiagh mee-hene fenish sooil yn Theah, ny-yeih ’sy stayd ta’n Cheer shoh nish ayn, tra ta nyn vondeish hene er hayrn dy cheilley sleih, nagh row roie feer choardit, dy chur baccan er slane settlement jeant edyr yn Duke Atholl as Parliament Hostyn, myr bentyn gys ey chooishyn ayns Mannin, theh ard ymmyrchagh dy bee ansoor er ny choyrt da’n pabyr prentit hug uss magh fegooish dty ennym huggey, cooid ta kiarit dy gholley ny mee-hushtee as adsyn ynrican.","     Although I am not very accustomed to writing down my opinions, and even less used to pushing myself into the public eye, nevertheless, in the state that this country is now in, when our own advantage has drawn the people of the country, who were previously not very agreeable to each other, together,  to frustrate a complete agreement made between the Duke of Atholl and the Parliament of England concerning his property in Mann, it is highly necessary that there be an answer given to the pamphlet you published without your name to it, which is designed to confound the ignorant and only them.",
"     ’Smie theh er fys, dy vel ny saaseyn s’roonee nish dy ghoaill, cour leeideil er shaghryn Pobble yn Ellan shoh, as dy reayl ad voish goail baght jeh’n sooil gys nyn vondeish hene, t’ocsyn va, as ta doostey as boanderys Meeaurys, Meechordail, as Anvea, edyr yn Duke Athol, as Cummaltee yn Ellan shoh, as shen fo’n coodagh tanney dy vel yh ny chooish dy ard scansh as gloyroil. Cour cre’n ymmyd ta’n billey[1] dy heyrsnys er ve eìeit magh er y gherrit shoh agh dy reayl bio ny shootyn saast gyn ymmyd, shen, cooid, dy beagh ad fagit daue hene, yinnagh fioghey as geddyn baase gyn eaí[2] ny earree[3] orroo. Reamyssyn ey Phobble, as cleih fo nyn Gairyssyn as Cummaltyn[4], t’ad shoh, ny goan mirrillagh ta reih[5] lheid y cheint shen dy Gheiney y hyndaa gys lhieh-jeeghyn, as dy leeideil ad er nyn doshiaght gys slane barriaght.","     It is well known, that the most malicious methods to now take, so as to mislead the People of this Island, and keep them from taking an ocular view of their own advantage, are those of those who were, and are, awakening and nurturing Suspicion, Discord, and Strife, between the Duke of Athol, and the Inhabitants of this Island, and that under the thin veneer that it is a glorious matter of great importance.  For what purpose has the bill of rights been called out (quoted?) of late but to keep the contrived suits alive for no purpose, which if they were left to themselves, would wither and die without meddling, or consequence. “The liberties of the People”, and “undermining their Rights and Possessions”, these are the wonderful words that nutures such a sort of men to turn to demagogues[6], and to lead them forward to complete victory.","[1] billey—‘a bill’. Seems to be archiac already in 1790 as although it is used in billey dy heyrsnys, elsewhere bill is preferred. 
[2] gyn-eïe—without meddling, besides. (Cregeen).
[3] erree—latter end of, become of, end of. (Cregeen)
[4] cummaltyn—seems to be a typo, as cummallyn is used elsewhere in this text.
[5] reirey, reir, v. to order, to manage a family, to humour. (Kelly)
[6] Lieh-jeeaghyn—‘demi-gods’, in this instance the intended meaning seems to be ‘demagogues’, seemingly derived from folk etymology."
"     Erreish dou, myr shoh, ve er choyrt dy cheilley ooilley ny ta mee dy heiltyn ta kiarit liorish dty phabyr-prentit roonagh, hem er my hoshiaght, (my scooidsave lesh y Theah dy eaishtagh tammylt rhym,) as fegooish kiarrail dy ghoostey argane erbee ny mast oc, dy sumney oo veih dty chorneil doo-dorraghey, dy hassoo magh, as dy hoilshaghey daue dty ennym as sliennoo, as dy foshlit dy yannoo mie noi’n Duke Athol veg jeh ny reddyn t’ou ayns dty ghaanyser choyrt ny ’lhieh, dy Vel ey chiarail brishey stiagh er Reamyssyn, Cairyssyn as Cummallyn e Hannys ayns Mannin—as g’oym orrym eg y traa cheddin, dy ghra, as dy phrowal nagh vel yn irriney ayd.","     Having, thus, put together all which I  suppose is intended by your malicious pamphlet, I will proceed, (if the people agree to listen to me for a while,) and with no intention of arousing any argument amongst them, to summon you from your dark black corner, to show yourself, and to reveal to them your name and surname, and openly make good against the Duke of Athol any of the things you in your boldness have charged him with; that his intention is to intrude upon the Liberties, Rights and Possessions of his Tenantry in Mann—and I will take it upon myself at the same time to say, and to prove that you are mistaken.",
"     Theh cheap dy liooar da lheid yn  schoilliar dowin-ynsit as uss, nagh loys dy ennym y choyrt gys dty phabyr-prentit lhunagh, hoshiaght dy ghientyn breagyn as larmyn gyn Undin cheu sthie jeed hene, as eisht dy chur magh ad dy foshlit roish y payrt jeh dty heshaghyn Cumraag ’sy chooish shoh, dy row feme rish, sy chied troa, dy skeailey yn vreg cour undyn y layil son y feme va rish cur magh fud y theah, dty phabyr-prentit croutagh.    ","     It is rather cheap for such a well-educated scholar as you, who dare not put your name to your slanderous pamphlet, firstly to formulate lies and alarms without foundation within yourself, and then to publish them openly before some of your Comrade-partners in this matter, that it was necessary, in the first instance, to spread the lie to lay a foundation for the need there was to disseminate your crafty pamphlet amongst the public.",
"     Va’n daanys eg fer ny fer ennagh[7] eu dy chur megeayrt fud yn Ellan, ayns yn ennym aym’s Screeuyn dy Vooise cooid ta shiuish er ghra, ve my wishal’s yn Pobble dy chur da’n Duke Atholl, son lhiettal ny Cummallyn oc veih ve keeshit; agh smie theh er fys da’n theah, as dhyt hene er-lhieh, dy nee nyn yannoo hene va shoh, as nagh row lheid y red er ny hirrey er y theah sy chooish shen, liorish carrey erbee jeh’n Duke.","     It was an audacity of one or another of you to put about throughout the island, in my name, A Letter of Thanks which you have said it was my wish for the people to give to the Duke of Atholl, for preventing their Holdings from being taxed; but it is well known to the public, and especially yourself, that this was your own doing, and that no such thing was sought from the public in that matter, by any friend of the Duke.","[7] fer ny fer ennagh— ‘one or another’ following the example of keayrt ny keayrt ennagh— ‘some time or other’ in ‘Aght Giare dy Heet dy Toiggal Firrinagh jeh Shibber y Chiarn’, Wilson, 1814."
"     Kys loys dhyt, y Ghooinney, dy ghoail ort ey daanys dy yannoo imraa jeh ennym y Duke Athol syn aght myr t’ow, as dy hoilshaghey eh ayns sooillyn ey Phobble myr wishal dy ghoail Vou nyn gummallyn, tra smie theh er fys, dy vel e Ooashley er choyrt daue dy chooilley satisfaction sy chooish shen ve possible ad dy ghearree— Dy phrowal shoh, verr’ym roish ey Theah, copy jeh Screeuyn ren ey Ooashley traa stierree ve ayns Mannin, as dy foshlit er ny chur magh liorish ny tree Deiney Seyrey va jannoo fo, yn Aspic, yn Briw as Captain Taubman, as lhaiht eg ooilley ny Kialteenyn Skeerey. Ta’n Screeuyn shoh er Recordyn ey Duke, signit liorish hene, as foshlit roish slane Cummaltee Vannyn.","     How dare you, man, to presume the audacity of mentioning the name of the Duke of Atholl in the way that you are doing, and to show him in the eyes of the people as wishing to take from them their holdings, when it is well known, that his Grace has given them every satisfaction in that matter that it was possible for them to desire—To prove this, I will put before the Public, a copy of a letter that his Grace produced the last time he was in the Isle of Man, and published openly by the three Gentlemen who were acting under him, the Bishop, the Deemster and Captain Taubman, and read at all the Parish Churches. This letter is on the Duke’s Records, signed by himself, and displayed before  the inhabitants of Mann.",
"LIBER VASTAR, 1788.","LIBER VASTAR, 1788.",
"ELLAN VANNIN, Yn cheyoo laa as feed jeh’n Vee er jerrey jeh’n Thourey, 1788.","ELLAN VANNIN, The twenty-sixth day of July, 1788.",
"GHEINEY SEYREY,","GENTLEMEN,",
