Manx,English
COYRLE DA MANNINEE.,ADVICE FOR MANX PEOPLE.
"Ny vud ocsyn te yn currym ain dy ghoaill rish dy vel shin kainlt ayns ymmodee booise daue, son yn aigney mie as yn chummal seose oc, ta shin ayns yn pabyr shoh, ta er ny yannoo ny smoo, ayns aght er lheh goaill stiagh nyn vud lheid as ta Manninee dooie, jeh sluight ooasle Mannin Mac Lear. ","Amongst those who it is our responsibilty to admit that we we are obliged to give much thanks to, for their goodwill and support, we are in this paper, that has done more, particularly including amongst them such as are native Manxmen, of the noble line of Mannin Mac Lear. "
"     Ny whail ocksyn ta shin dy kinjagh er yn yeeaghyn, ayns yn streu ain dy chummal seose ny privilegyn chymnnit dooin liorish ny shen airaghyn ain. Shassoo shickyr ayns yn charrail ain dy chummal seose cairysyn ny cheer ain, as ayns rooteil seose ny mee-chairysyn ta er churt ayns dangeyr chamble chasharick yn constitution ain, liorish fir oik goail orroo dy reih ad hene, as goail yn oik er mainshteyragh, ayns ynnid ad ve reiht liorish cummaltee yn Ellan, as ve currit ayns yn oik lioroosyn, dy hassoo seose er nyn son as dy yannoo cairys ayns nyn ynnyd; ta shin ec dy chooilley chra er churt nyn dreisht er cummaltee yn cheer ain hene.","     In meeting them we have always been shown, in our struggle, to support the privileges garnered for us by our ancestors, standing sure in our intention to uphold the rights of our country, and in uprooting the injustices that have endangered the holy temple of our constitution, by officials assuming to elect themselves, and extorting the office, instead of them being chosen by the residents of the Island, and being put in the office by them, to stand up for us and to do justice in our place; we have at all times put our trust upon the residents of our own country. "
,
"     Ta shin er ny gholl er nyn doshiaght myr deiney caggee noi noidyn yn Ellan; ta shin er nheignagh ad dy ghoail rish dy vel ny hobbraghyn ock lheid as nagh vod ve er ny hurranse liorish yn chylloghe sho ; ta shin er cheau foshlit dorrys yn chamble dyn-nhyss, as er nheignagh ad dy churt clashtyn da, as dy ockley magh ny hackanyn ain. ","     We have advanced like men of war against the enemies of the Island; we have urged them to accept that their works are such as cannot be suffered by this generation; we have thrown open the door of temple by surprise, and have urged them to to give it a hearing, and to anounce our complaints. "
"     Agh cha vel shin foast er ve eabil dy churt fo-chosh dy chooilley hranlaasagh ta freayll shin voish feddyn slane reamys ; cha vel shin foast er ve eabil dy churt mow dagh drogh-chliaghtey ta er nirree seose voish tra dys tra ny mastey ain, lheid as veagh ayrn erbee jeh reeriaght Hocksyn ayns nearey roish, as lhied as nagh jinnagh eash erbee, agh ny eashyn s’dorraghey, y churt biallys daue.","     But still we have not been able to subdue every tyrant that keeps us from getting complete freedom; we still have not been able to wipe out every bad custom that has arisen from time to time amongst us, such as any part of the Btitish kingdom would be ashamed of, and such as not any age at all, except the darkest of ages, would obey. "
,
"     Ta yn cooney ta yn labyragh ain er ny gheddin voish cloan Manninin Mac Lear, ga nagh vel ad foast er ve feer vondeishagh, fieu jell nyn mooise share,—agh ta shin ginsh dy foshlit da ny fir-cheerey ain, dy re liorish cummal magh ny lomarcan ta’n varriaght dy ve ry-gheddyn.","     The help that our labour has received from the children of Manninin Mac Lear, although they have  not yet been very advantageous, is worthy of our best thanks,—but we are telling our countrymen openly, that it is only by holding out that the victory is to be had. "
"     Accanyn ny shenn ayraghyn ain, as ynrickys ashoon Hocksyn ayns ve ny leidjeilee ain dy hroailt ayns yn toilshey er nyn doshiaght. ","     The complaints of our ancestors, and the sincerity of the nation of England in being our guides to travel in the light ahead of us. "
"     Ta’n chooish ain mie as troggit er undin shickyr, cha nee er undin neufondagh;  she dy cherraghey, cha nee dy choyrt mow, Kaire-as-feed yn cheer ain ta shin streeu. ","     Our case is good and built on a secure foundation, not on an unreliable foundation; it is to punish, not to destroy, the Keys of our country that we strive. "
"     As ta shin geearey er cummaltee Ellan Vannin dyn gaase skee ayns jannoo dy mie, son ga nagh vel eh ayns pooar cretooryn ny lomarcan dy phointeil daue hene leagh nyn laboragh, lhig daue cooinnaghtyn er dy vel ny smoo ayns yn pooar oc,—tar ad eabil toilchinys eh.","     And we implore the residents of the Isle of Man not to tire in doing well, for although it is not in the power of creatures alone to appoint for themselves the reward of their labour, let them remember that there is more in their power,—those who are able are deserving of it."
