Manx,English,Notes
O ! Cre ta Dooinney ?,Oh! What is Man?,
"O ! cre ta dooinney, quoi dys neem’s soylagh eh ? ","Oh! what is Man, to whom shall I compare him?",
Ny cre ta towshan glaie slane eash e vea ? ,Or what is a summary of his whole life?,
"Te myr yn blaa aalyn sy voghery, ","He is like a beautiful flower in the morning,",
Eisht giarit sheese as fiogit roish yn oie. ,Then cut down and shrivelled up before the night.,
"Ta paart dy sleih ta kinjagh ayns imnea, ","Some people are always in a state of anxiety,",
Er eer fairdail kinjagh nyn aigney ta ;,There minds are always upon vanity ;,
Myr nagh beagh ad dy bragh yn seihll aggail ; ,As though they would never leave the world ;,
"Ny smooinaght er quoi t'oc ny [nyn] gooyl ny quaail,","Or think about who is behind them or towards (them),",
"My nee shiu ronsagh magh trooid sushtal Yee, ","If you will seach through God’s gospel,",
Ayns shen cha vow shiu moylley mooar erbee : ,You will not find any great praise there :,
"Cour lheid y sleih ta son yn seihll shoh paa, ",For such people who are thirsty for this world;,
Nagh vel chur geill dy cosney maynrys braa. ,Not paying attention to achieving eternal happiness.,
"T’ad girree moghrey gyn smooinaght er y Chiarn, ","They rise early without a thought about a the Lord,",
Dy re e phooar ta’r coadey ad ayns dagh Ayrn ; ,That it is his power that has protected them in every part;,
Throoid whilleen gaue t’ad fakin myr t’ad shooyl. ,"Through so many dangers they see as they walk,",
As throoid danjeyr nagh vaik ad lesh nyn sooill,And through danger they did not see with their eyes,
"Cha vel ad croymmey sheese cur ooashley da, ","They do not bend down worshipping him,",
Ny er E ennym graihagh wheesh gimraa ; ,"Or so much as mention his loving name,",
"Dy cur da booise son slaynt, as son dagh nhee, ","To thank him for health, and for everything,",
Son coadey ad ayns gaueyn mooar yn oie. ,For pretecting them in the great dangers of the night.,
"Ga ta shiu clashtyn kinjagh laa lurg laa, ","Although you hear constantly day after day,",
Jeh slatt y Chiarn er feiy ny cruinney ta ;,Of the rod of the Lord throughout the world ;,
"Paart ta slayntoil yn tra t’ad goll dy lhie, ","Some who are fine (healthy) when they go to bed, ",
Fosley nyn sooillyn ayns seihll dy spyrrydyn sthie ?,Opening their eyes in a world of inner spirits ?,
,,
"Paart ta gholl magh er gys nyn obbyr laa, ","Some who go on out to their daytime work,",
Nagh vel dy bragh reesh gys nyn dhieyn chyndaa. ,Who never return again to their homes.,
"Ta’n baase doaltattym geamagh ad ersooyl,","Sudden death calls them away,",
"Eisht, cooid yn seihll shegin daue fagail ny gooyl. ","Then, worldy goods they must leave behind",
"Shoh eisht, my chaarjyn, cronney shenn as aeg. ","This then, my friends, is the fate of old and young.",
"Cha leah’s ta’n chaghter cheet dy gheddyn ad, ","As soon as the messenger comes to get them,",
