English,Manx,Notes,,,
Letter from Archbishop of York to the Lord Bishop of SODOR and MAN.,Screunyn voish Chiarn Aspick York gys Aspick yn Ellan shoh.,,,,
"     Right Reverend Brother,",     Vraar Graiah—,,,,
"     THE Corporation, erected by our late gracious Sovereign King WILLIAM, for the Propagation of the Gospel in Foreign Parts, having, by their great zeal in carrying on that good work, So far exhausted their stock, as to be obliged to have recourse to His Majesty for assistance, I do with great pleasure communicate to you the gracious Letter, which he hath been pleased to send me in answer to their request.","          Ta’n Corporation, (ny yn Cheshaght dy Leih) va Ordryt liorish nyn Ree grasoil Illiam, son Skealey yn Sushtal ayns Aarnyn as y Raad[1] jeh’n Seihl, liorish yn Ard charail ock ayns cur er y hoshiaght yn Obbyr vie shen choud shen er Nolmagh nyn Stoar, dy vel ad forcyt[2] dy yearee Cooney veih nyn Ree: She lesh Arriltys feer voar ta mee curt hiu yn Scriuyn grasoil, Schooidsave lesh y chur hym ayns Ansoor gys yn yearee ock.","[1] Aarnyn as y Raad] [Aynryn ass y Raad] ‘out of the Way Parts’ = ‘Foreign Parts’.
[2] forcyt] ‘forced’, ‘obliged’.
",,,
"     You will therein see, how highly His Majesty approves this undertaking ; and how ready he is to give his Royal countenance and encouragement to it; what liberty he hath granted for a public collection; and what commands he hath laid upon us, that his said Letter be made public; and that the Ministers in each parish be required effectually to excite their parishioners to a liberal contribution.","     Nee shiu fakin ayns shen, crys ta’n Oashley echey yn Ree lowal jeh’n Obbyr chedin as cre cha arriltagh as te dy chur encouragem.t. da; cre’n Ched te er churt dy be[3] Collection foshlit jeant; as cre’n Saarey te er chur dooin dy bee yn Scriuyn echey Soiljyt da dagh unnane[4] As dy bee Saggyrtyn dagh skearey er ny Yearee dy Ghrennaghey Slei ny Skeearaghyn ock dy churt dy feoilt. ","[3] dy be [dy bee]
[4] Soiljyt da dagh unnane] [Soilshit da dagh unnane] ‘exhibited to everyone’ = ‘made public’",,,
"All which I thought myself obliged to signify to you, not doubting, but that to the utmost of your power you will recommend and promote this pious and excellent design.","Ooilley yn chooid cheddin yeagh mee orrym pene kianlt[5] dy hoiljaghey diuish, gyn Dooteil agh dy jean shiuish, wheish as tayns nyn Boar dy chur er y hoshiaght yn Obbyr vie as Giastillagh shonony —",[5] yeagh mee orrym pene kianlt] ‘I considered myself obliged’ = ‘I thought myself obliged’.,,,
"     I must now take leave to acquaint you, that as it is very probable that this business may be attended with some misconceptions, it will be proper to obviate them, as far as they arise from a want of true information upon the subject.","     Shegin dow nish ghoail ched dy insh diu, myr >te lickly dy< vod[6] yn Obbyr shoh ve goit ayns Marranys, dy bee eh cairal, dy chur Stap er lheid yn Marranys, dy hoilshaghey yn Chooish dauesyn ta laccal fys mychione echey.[7]","[6] myr >te lickly dy< vod ] ‘how it is likely that ... can’. [myr t’eh liklee dy vod]. The text gives [voddys], with [ys] crossed through, and >te lickly dy< is inserted above.
[7] dy hoilshaghey yn Chooish dauesyn ta laccal fys mychione echey.] ‘to explain the matter for those that lack information about it.’",,,
"     It may be suggested, that this application cannot now be necessary after the liberal contribution which was raised for the distressed AMERICAN CLERGY about three years ago.","     Foddee eh ve rait nagh vod yn Application shoh ve ymmirchagh, lurg da Collectionyn feoilt ver ny Haglym[8] da ny Saggyrtyn boghtey ayns America mish three Bleaney er dy henney. ",[8] ver ny Haglym] [v’er ny Haglym] — an early example of third person singular form used instead of agreement with the head word [Collectionyn].,,,
"The answer to which is, that the collection which was then made, was by private application and not by public authority ; and it was intended for the present relief of those conscientous Clergymen, who rather than betray their duty relinquished their properties, and whose families were in general left in the greatest distress.","Ayns Ansoor gys shoh,[9] yn Collection va yn tra shen jeant, ve er Aght private, as cha nee lesh Ched yn Ree; ve Chairit son Cooney da ny Saggyrtyn shen ren fagail nyn Gooid nyn Gooloo[10], ny sleie ny[11] ve tretooryn gys nyn Gurrym, ny Lughtyn Thie ock va son y chooid smoo fagyt ayns y Treihys smoo. ","[9] Ayns Ansoor gys shoh] ‘In Answer to this’.
[10] Ny Saggyrtyn shen ren fagail nyn Gooid nyn Gooloo] [Ny Saggyrtyn shen ren faagail nyn Gooid nyn Gooylloo] ‘those Priests who left their goods behind’ = ‘relinquished their properties’.
[11] Ny sleie ny] [Ny sleaie na] ‘sooner than’",,,
"     It should be remembered too, that the Clergymen, who have been relieved, were (many of them) those who had no connection with the Society, being partly such as had been supported by the contribution of their congregations, and partly such as had a settled maintenance in those Provinces, in which there is an established provision for a Ministry of the Church of England.","     — Lissagh eh ve Cooinyt neeisht, dy row ny Saggyrtyn whoar chooney, leid (immodee jeu) as nagh row veg ock dy yiannoo rish yn Society, pärt jeu va mainsyt liorish ny Chiaglymyn oc, as part jeu va lheid as va Setlyt ayns ny Haarnyn shoh lesh Beaghey myr ayns Keeil Haghsyn.",,,,
"     Another suggestion may be, that while so large a part of America is in a state of revolt, a collection for the support of Missionaries may at present be deferred.","     Foddee eh ve reeisht raait, choud as ta Aarn vooar jeh America ayns irree magh, nagh lias da collection ve jeant son ny Saggyrtyn sy trä toan[12],",[12] sy trä toan] [sy traa t’ayn],,,
"Those who make such an objection may possibly not know, that even in the revolted Colonies there are many Clergymen remaining in a state of persecution, who, instead of being deserted on this account, have a stronger claim upon the assistance of the Society ; and that we have still hopes, under God's good providence that peace may be again restored, and the Clergy of our Church may again return to their pious employments : there is at least no reason why the Society should abandon the object of their Institution.","adsyn ta jiannoo lheid yn Objection, te lickly nagh vel fys ock dy vel Eirtys jeant er ny Saggyrtyn ayns yn Ynnyd shen, quoi, ayns ynnid ve treigyt er y Choontey shoh, ta Claim stroshey ock son Cooney yn Society; as tain still Treishteil vie, fo Gorneilys Yee, dy jig Shee reeisht er Ash as dy vod Saggyrtyn ny Hinnydyn cheddin chindaa reeisht gys nyn Aghtyn Beaghee cha vel eck yn chooid sloo, Oer erbee eck yn Society dy hregeil ayns Dreisht.[13]","[13] gys nyn Aghtyn Beaghee cha vel eck yn chooid sloo, Oer erbee eck yn Society dy hregeil ayns Dreisht.] ‘to their ways of livelihood (employments), there is at least, no reason for the Society to abandon their trust.’",,,
,,,,,
"I am, My Lord, Your affectionate Brother, W. EBOR.",Ta mish my Hiarn yn Braar graiagh eu. ,,,,
"June 19, 1779.",W Ebor.,,,,
,June.19.1779.,,,,
,,,,,
"     To the Most Reverend Father in God, Our Right Trusty and Right Entirely Beloved Councillor, William Lord Archbisbop of York, Primate of England, and Metropolitan.","Gys Illiam[14] Chiarn, Ardaspick York Primate jeh Saghsyn, as Metropolitan — ","[14] Illiam] corrected from ‘William’, with the ‘W’ crossed out and the following ‘i’ capitalized.",,,
,,,,,
     GEORGE R.,     George nyn Ree,,,,
"          MOST Reverend Father in God, Our Right Trusty and Right Entirely Beloved Councillor, We greet you well.","     Gys nyn Ayr as Counseilagh graiagh, treishteilagh as firrinagh ayns Djee, ta shin Bwooishal shiu dy mie.",,,,
"     Whereas The Incorporated Society for the Propagation of the Gospel in Foreign Parts, have, by their petition, humbly represented unto Us, that King WILLIAM the Third of glorious memory, was graciously pleased to erect the said Corporation, by letters patent, bearing date the 16th day of June 1701, for the receiving, managing, and disposing of the charity of such of his loving subjects as should be induced to contribute towards the maintenance of an Orthodox Clergy, and the making such other provisions, as might be necessary for the Propagation of the Gospel in Foreign Parts.","Son wheeish as dy vel yn Society son Skeilley yn Sushtal ayns ny Aarnyn sodjey magh jeh’n Seihl, dy himbly as hoiljaghey, dooin, liorish yn Accan ock, dy ghooidsave lesh Ree Illiam, yn tress jeh’n Ennym shen, yn Society cheddin, > y confirmal<[15] liorish scriuyn gys yn Phurpose shen, ghoail yn Date ock er yn 16 jeh mee vainagh yn Thouree, sy Vlein 1701, y Phonteil dy ghoail stiagh, dy Vanagal, as dy chur magh lheid yn Ghiastillys as schooidsave lesh yn Thea graiagh echey y churt son mainsal  [ny] Saggyrtyn [echey][16] as ji’annoo leid yn Viey sodjey, as oddagh ve immirchagh dy Skealley yn Sushtal ayns Aarnyn as yn Raad jeh’n Seihl.","[15] y confirmal] ‘to confirm’ —added above in a lighter colour ink.
[16] Saggyrtyn] ‘Priests’. Either side,  [ny] and [echey] are crossed out ([ny Saggyrtyn echey] ‘his priests’).",,,
"     That, the very great expences necessarily attending that good work have constantly much exceeded the income of the Society, which ariseth almost entirely from the voluntary contributions of the Members of that Society, and of others our good subjects ; and therefore the Society has been obliged, at several times, to make humble applications to our Royal Predecessors, to Her Majesty Queen Anne in the years 1711 and 1714; to His Majesty King George the First in the Year 1718 ; and in 1741 and 1758 to His late Majesty King George the Second our Royal Grandfather,[17] for permission to make public collections of charity ; which applications were most graciously received, and permissions granted for the purposes aforesaid, by which means the Society was enabled to carry on the good designs for which they were incorporated.","     Dy vel yn Cost ta er hendeil yn Obbyr vie shen, er ve dy kinjagh ny smoo ny cheet stiagh yn Society cheddin, cooid ta Bunnys as son yn chooid smoo as Pockaddin yn Society as Chreesteenyn Giastillagh elley; as shen y fa ta’n Society eck Caghlaaghyn Tra er ve foircyt dy yiannoo Accanyn imlee gys ny Reeghyn ta er ve roïn, gys yn Ven Rein Ann ayns ny Bleantyn, 1711 & 1714; Gys yn Oashley echey Ree George the first sy Vlein 1718, as ayns ny Bleantyn 1741 as 1751 gys yn Oashley echeysyn George the second, son Ched dy yiannoo Collection cour Giastlley va ny Accanyn cheddin goit dy mie, as Ched currit son ny Purposeyn roie enmissyt, liorish ny Saasyn cheddin va Poar eck yn Society dy chur er nyn Doshiaght yn Obbyr vie vad Pointyt er y hon.",[17] our Royal Grandfather] omitted from the Manx translation.,,,
,,,,,
"     That, it is now twenty-eight years since their last application was made to our Royal Grandfather ; during which long period the fund of the Society hath been continually becoming more inadequate to their expences, and is at present quite exhausted.","     Dy vel eh nish hoght Bleaney as feeid near as va Accan jeant gys my yijgyd voar[18], son choud dy hrä ta Stock yn Society dy kinjagh er Naase ny sloo, as te nish roiyt quite ass — ",[18] my yijgyd voar] ‘my grandfather’ — the English uses the ‘Royal we’ (‘our Royal Grandfather’). The third letter of [yijgyd] has been altered and is difficult to read. ,,,
"That, the Society nevertheless are anxiously desirous to support and maintain their Missionaries, Catechists, and Schoolmasters, within several of our Provinces in North America, and elsewhere, by whose means many of our subjects in those parts have had the comfort of God's word being preached to them, and the administration of his holy Sacraments continued amongst them, and many thousands of Indians and Negroes have been instructed and baptised in the true faith of Christ.","Dy vel yn Society son ooilley shoh still gearee dy Chooney as dy vensal ny Saggyrtyn, Mainshtyrin shoillar[19] as adsyn ta gynsagh da’n Aigyd nyn Gurrym, cheu stie jeh Caghlaaghyn Aarn jeh America as Aarnyn elley, lioroo ta immodee dy lieh ayns ny Aarnyn shoh as yn Gherjagh y ve oc jeh Goo Yee er ny Phreicheil daue as yn Christeeagh er ve Shirveishyt ny mast ock, as ta immodee Thousaanyn dy Indianee as Negeryn er ve ynsit as Bashtyt ayns Chredjue firrinagh Chreest",[19] Mainshtyrin shoillar] text gies [Mainshtyrin shoillaryn] with the final [yn] crossed out.,,,
