Manx,English,Notes
GOD SAVE THE KING.,HIARN SAUE YN REE.,
I.,I.,
"God save great George our King,",Dy saue Yee George nyn Ree ! ,
"Long live our noble king,",Dy foddey beayn da’n Ree ! ,
God save the king!,Hiarn saue yn Ree!,
"Send him victorious,","Cur da yn varriaght, ",
"Happy above our view,","Maynrey erskyn nyn maght, ",
"Ever keeping the enemy subdued,",Sheer freayll yn noid fo smaght ,
God save the king!,Hiarn saue yn Ree!,
II.,II .,
"Rise up, O Lord our God,","Trog ort, O Hiarn nyn Yee ! ",
"Subdue every enemy of peace,","Smaghtee dagh noid nyn shee, ",
That yet remains;,Ta foast er-mayrn; ,
"Lay waste to their tricks,","Nyn groutyn cur uss mow, ",
"Keep us from every destruction,","Freill shin veih dagh toyrt-mow, ",
"Ever stand, by our side,","Shass uss sheer, er nyn jeu, ",
"Save us, O Lord!","Saue shin, O Hiarn ! ",
III.,III. ,
"Your best gifts in store,","Dty ghiootyn share ayns stoyr, ",
"Pour down on George in favour,","Deayrt neose er George ayns foayr, ",
"Eternally ruling in peace,",Beayn reill ayns shee; ,
"Ever supporting the good of the people,","Sheer freayll seose foays y Thea, ",
"And forever giving us cause,",As coyrt dooin oyr dy bra ,
"To say, with heart and mouth,",Lesh cree as veeal dy ghra ,
Lord save the King!,Hiarn saue yn Ree! ,
