Manx,English,Notes
The following is a copy of the menu of the Hall Caine banquet as printed in English and Manx :—,,
1 Caviare. Olives. Anchovies. ,1 Caviar. Oliveyn. Anchoveys. ,
2 Clear Turtle. ,2 Calmane Sollys. ,
Creme a la Reine. ,Kesh Vainney Yn Reine. ,
3 Turbot. Hollandaise Sauce. ,3 Eeast Feer Vlastel[1].  Aulyn Blaystall[2] Hollandaise. ,"[1] Vlastel] Vlastal
[2] Aulyn Blaystall] Aunlyn Blastal"
Devilled Whitebait. ,Devilled Whitbait. ,
4 Fillets of Beef : Bearnaise Sauce. ,4 Feill Vart Gavit: Aulyn Blastall[3] Bernaise. ,[3] Aulyn Blastall] Aunlyn Blastal
Fricassee of Chicken. ,Hein Coagred. ,
5 Roast Lamb : Mint Sauce. ,5 Eyan Rostid. Aulyn Mynthey. ,
Roast Turkey. ,Kellagh Ny Kaigh-Sayagh[4] Rostid. ,"[4] Kellagh Ny Kaigh-Sayagh — this is almost certainly taken erroneously from J. Kelly’s dictionary which gives for ‘turkey’; Kellagh ny Kiark rangagh, which, word-for-word, means; ‘a male or female French hen’. "
6 Champagne Sorbet. ,6 Feeyn Roi[5]. ,[5] Roi] Rio
7 Woodcock: French Salad. ,7 Kiark-Rhennee: Aulyn Blaystall Frangagh.,
8 Asparagus. ,8 Asparagus. ,
9 Pine Apple a la Conde. ,9 Pine Ooyle[6] Conde.,[6] ooyle] ooyl
Villiers Pudding. ,Puiddhin-Yn-Villiers. ,
Liqueur Jellies. ,Ligar Smuar[7]. ,[7] Smuar] Smuirr
Strawberry Ice Pudding. ,Strawberry Rio Puiddhin. ,
Biscuits. ,Arran. ,
10 Parmesan Souffle. ,10 Casshey[8] Parmesan. ,[8] Casshey] Caashey
Dessert.  Coffee. ,Dessert.  Coffee .,
,,
,,
[1] Vlastel] Vlastal,,
[2] Aulyn Blaystall] Aunlyn Blastal,,
