Manx,English
THE LATE REV. ROBERT BROWN. PARISH OF BRADDAN - MANX EPISTLE.,TRANSLATION OF THE MANX EPISTLE.
,To the Editor of Mona’s Herald.
,"Sir, Having read a Manx epistle in your paper, of the 30th ult., which the writer desired to be translated into English, and inserted in your last Wednesday' paper, but as no translation appeared, I thought I should try my hand at translating Manx into English, for my own amusement,—and as you say that an English translation shall readily have a place, if forwarded, I send you this, which you may insert in your next Herald, if you have not received a better. "
,"I am, Sir, yours &c, "
,A COUNTRYMAN.
"Huggeysyn ta cur magh yn Heral Manninagh,","To he who publishes the Manx Herald,"
"     Vainshtyr, ta mee er chlashtyn lesh lane trimshey jeh baase Saggyrt Brown, saggyrt yn skeerey shoh, son v’eh dooinney mie, dooinney va’n slane yeearree as yn bwooishal echey dy yannoo foays da’n sleih va currit fo’n kiarail echey myr shirveishagh, as cha nee ynrican dauesyn, agh da dy chooilley unnane v’eh abyl","     Sir, I have heard, with deep regret, of the death of parson Brown, Vicar of this parish, who was was a good man,—a man whose whole wish and heart’s desire was to do good for to the people committed to his care, as a minister,  and not them, but to all whom he would he would be of service; hardly if such a parson will be given to us in his place.  "
jannoo mie da. S’coan my vees lheid yn saggyrt currit dooin ’syn ynnyd echey. ,
"     Ta mee er chlashtyn dy row eh dooinney feer ynsit, dy row eh toiggal Hebrew, Greek, as","I understand he was a very learned man, that he understood Hebrew, Greek, and Latin; but, because we poor Manx people were unacquainted with these strange languages – indeed, some of us do not understand English very well, and others scarcely any. When he first came to this parish, he hired a Manx clergyman who understood Manx to preach to us in that language, that is to say, our mother tongue. He thought it unjust to be in a parish where all the people did not understand English, without the Gospel being to the man who understands Manx, as well as to the man who understands English. He therefore, because the Manx clergyman could not remain long with him, undertook to learn the Manx language, and in a short time, by labouring night and day, he was able to read and preach in that language. Although he himself was a Manxman, he never saw how necessary it was for a country clergyman in this Island to understand Manx, till he came among Manx people."
"Latin; agh er yn oyr nagh row shinyn Manninee voghtey toiggal ny glaraghyn joarree shoh—dy jarroo ta paart jin nagh vel toiggal Baarle feer vie, ny eer toiggal monney jeh—tra haink eh gys yn skeerey shoh hoshiaght, ren eh failley saggyrt Manninagh va toiggal Gaelg, dy phreaçheil dooin ’sy ghlare shen, ta shen dy ghra, çhengey ny mayrey Ellan Vannin. Honnick eh nagh row eh cairagh da dy ve ayns boayl raad nagh row ooilley yn sleih toiggal Baarle, fegooish yn sushtal ve er ny phreaçheil da’n dooinney Gaelgagh kiart cha mie as da’n dooinney Baarlagh. Myr shen ayns wheesh",
