Manx,English,Notes
JUAN VARR Y VUC.,JACK WHO KILLED THE PIG.,
     Keayrt dy row va ben voght vagh ayns glion ersooyl veih’n raad mooar er y çheu hiar Slieau-ny-Freoghane.[1] ,     There was once a poor woman who lived in a secluded glen on the eastern side of Slieau-ny-Farrane. ,[1] ayns glion ersooyl veih’n raad mooar er y çheu hiar Slieau-ny-Freoghane] ‘in a glen away from the highway on the east side of Slieau-ny-Freoghane’.
"Va e dooinney ny eeasteyr, va dy-mennick ersooyl veih’n thie rish foddey.","Her husband was a fisherman, who was frequently absent from home for long periods.",
"Ve er y ven, shen-y-fa, cha nee ynrican dy hendeil rish kiartaghyn y thie, agh; dy yeeaghyn mysh ny paitchyn chammah, myr-shen foddee oo ve shickyr va ny guillyn faagit dy yannoo mooarane myr bailleu.","The wife had, consequently, not only to attend to domestic matters, but to see after the children as well, so you may be sure the boys were left to do much as they pleased",
"     Va’n fer shinney jeu, Juan, gaase ny stuggey, va kinjagh streeu dy yannoo deedje ny obbyr croutagh.[2]","     The eldest of them, Juan, was growing into a stout lad, who was always trying to do some great feat or other.",[2] deedje ny obbyr croutagh] ‘a deed or crafty work’. [deedje] appears to be derived from ‘deed’ and is not attested elsewhere.
"Shimmmey ny caggaghyn v’echeysyn as y çhenn kellagh-guiy, dy akin quoi lhisagh ve mainshter.",Many were the battles that he and the old gander had to see who should be the master.,
"     Myr v’eh gaase ny s’moo ghow eh toshiaght dy yannoo caggey er yn ollagh, myr-shen tra honnick ad çheet eh streeu ad dy gheddyn magh ass y raad jeh’n vad vooar vechey. ","     As he grew bigger he extended his attacks to the cattle, so that when they saw him coming they endeavoured to get out of the way of the big stick he always carried with him.",
"Hroid e ayr rish ayns fardalys, tra haink eh thie veih’n eeastagh er oie Yesarn, agh ynrican haink eh dy ve ny s’daaney.","In vain did his father scold him, when he came home from fishing on a Saturday night, for he only became the more daring.",
"     Fy-yerrey ghow eh toshiaght dy woailley ooilley, by-cummey lesh row eh dooinney ny baagh, dy raink eh-ny-whail ayns ny ardjyn shen, as haink eh dy ve lheid y fer-agglagh dy der ad yn ennym “Juan y Marooder Foawr.”","     At last he began to use his stick on all, whether man or beast, that he met in those parts, and he became such a terror that they gave him the name of Jack the Giant Killer.",
"Haink e niart vooar dy ve cha baghtal dy raink ymmodee veih lhiattee Laxey dy chaggey lesh, agh hooar eh kinjagh y varriaght.","His great strength became so notorious that many came from Laxey side to try conclusions with him, but they were always worsted.",
"     Va kinjagh palçhey dy phurryn echey cour e henn voir, va’d mucyn feïe va feddynit ayns ny sleityn roie nish.","     He kept his old mother well supplied with purrs, as they called the wild swine that were formerly found in the mountains.",
