English,Manx,Page
Peel ,Purt ny Hinshey,1
23/12/2025,23 jeh yn vee S’jerree jeh’n vlein,1
“Very Merry Christmas and happy new year and many of them.,Bea as slaynt Ollick vie ghennal as blein vie noa as ymmoddee jeu.,1
 I hope you may be spared for a longtime to put forward and preserve the old manx language.,"Treishteil dy bee shiu sparit son foddey liauyr dy hraa dy cur er y hoshiaght, as dy reayl seose shenn glare Ellan Vannin",1
,,1
I am also wishing that the almighty protector may defend you from all harm and danger.  ,Ta mee myrgeddyn treishteil dy jean yn Fer Choadee ooilley-niartal shiu y endeil as y reayl voish dy chooilly assee as danjeyr.,1
,,
"May he clothe you in grace, that is proper and kind. ",Dy jean E shiu y coamrey lesh dy chooilley grayse ta cooie as dooie.,1
And may he lead your steps in the path of peace. ,As dy jean E leeideil nyn kesmaydyn ayns ny cassanyn dy hee.,1
 As in the end you will be counted worthy , Myr ee yn jerrey dy bee shiu coontit feeu,1
,,
"to take part in the everlasting life, a place without any Christmas, or new years, and years without extent, and days not spent.  ","dy goaill ayrn ayns eiraght yn vea-veayn, boayl nagh vel ollick erbee arragh, ny blein noa, as blein nagh vel roshtyn, as laa nagh vel ceau.",2
"Here the greatest desire of him is to be counted worthy to be called your friend and your servant""","Shoh yn ard-yeearree eshyn ta coondey eh smoo feeu dy ve ynmysit nyn carrey, as nyn shirveishagh.",2
,,2
Custodian of Peel,Curmyrdeyr yn Pheeley,2
