Manx,English,Notes
"     My Ghooinney cheerey, Te jannoo lane taitnys da my chree (ga bunnys three cheead veeiley jeh) dy chlashtyn dy vel Manninee fei-yerrey,  ga yn laa lurg y vargey, doostey seose ass nyn merruid—haaveenagh dy hauail Chengey-ny-Mayrey veih ve ooilley cooidjagh oanluckit syn oaie. ","       My Countryman,—It delights my heart (though nearly three hundred miles away) to hear that Manxmen at last, although the day after the fair, are waking up out of their lethargy to save the mother tongue from being altogether buried in the grave. ",
"     Ga-dy-vel ee roie dy tappee gour-y-vullee, gollrish ny banglaneyn elley jeh’n chenn ghlare-ghooie, va keayrt dy row gurneil yn trass ayrn jeh’n Rank, ny-yeih cha vel eh yindys erbee, dy vel ad ooilley goll sheese ny lhiargee agh er-lheh, yn Ghailck Vanninagh son ta cha beg dy chummaltee syn Ellan. ","       Although it is running fast to an end, like the other branches of the old native tongue which once held sway over the third part of France, nevertheless it is no wonder that they are all going down the hill (declining), but especially the Manx Gaelic, for there are so few inhabitants in the Island. ",
"     Ta Yee er choyrt wheesh dy cheeayll da dooinney nish, dy vel eh gimman ny greinyn-aileagh, t’eh jannoo eer er famman-ny-geayee, as ta wheesh dy schlei, currit da, dy vel eh er n’yannoo mollagyn-aeragh dy chur lhien seose eh dys ny bodjallyn. Ta siyn-hiaullee echey myrgeddin dy gholl veih Cheer dy Heer, eer noi sooill-ny-geay ee, tidaghyn ny marrey, as gaalyn yn aer. ","     God has given so much sense to man now that he drives the steam engines (locomotives) which he makes even on the tail of the wind; and so much skill is given to him that he has made balloons to take him up to the clouds. He has vessels, also, to go from country to country, even against the eye of the wind, the tides of the sea, and the gales of heaven.",
"     Eer er grunt y cheayin vooar hene, ta saase ec dooinney dy chur chyrrys veih un ayn jeh’n seihll dys ayrn elley lesh bieauid yn tendreil. ","     Even on the bottom of the ocean itself, man has the means of sending a message from one part of the world to another with the speed of lightning.",
,,
"Shen-y-fa ta sleih ny-cruinney mestit fud-y-cheilley wheesh shen smoo na va’d rieau roie -dy re yn ghlare s’cadjin ta ’sy theihll vees y glare smoo ymmyd vees jeant j’ee. She shoh yn oyr, son y chooid smoo, dy vel yn Ghailck Vanninagh ain er gholl kione my-lhei cha tappee. Ta Mannin nish jeant, myr dy beagh ee, ayrn jeh Sostyn, raad t’an Vaarle glare chadjin y theay.","      Therefore the people of the world are mixed together so much more than they ever were before, so that the most common language in the world will be that of which the most use is made. This is the principal reason why our Manx Gaelic has gone down so fast. The Isle of Man has now become, as it were, a part of England, where English is the common language of the people.",
"Ayns Sostyn er-y-fa-shen cha vel yn Ghailck dys ymmyd erbee. Myr shoh ta’n Vaarl goaill yn reiltys as yn reiltys vees eck. Ta’n oyr feer vaghtal. Ta dellal Vannin currit lesh çheu-sthie jeh queig ny shey dy ooryn dys margaghyn Hostyn, as dy ghellal ayndoo shen, she Baarle, as Baarle ynrican, shegin ve oc.","      In England therefore, Manx is of no use. So English takes the rule, and the rule she will have. The reason is very obvious. The trade of the Island is brought within fire or six hours of the markets of England, and to trade there, English, and English only, they must have.",
,,
"Ta sleih-aegey Vannin myrgeddin, chammah as y chenndiaght, troailt veih boayl dy voayl as fei-ny-cruinney, paart dys yn aill, paart dys keird—as paart elley goll ey-shiaulley foddey jeh dy hagglym cooid as cowryn gour y laa fliaghee. ","      The young people of the Island also, as well as the old, travel from place to place throughout the world—some to hired service, some to trade, and others go sailing far away to amass goods and riches for a rainy day. ",
,,
