Manx,English,Notes
[Cover note]:,,
Rev John Kewley of Ballafreer,,
His address in Manks on the outrageous claims of the Duke of Atholl,,
C 1805[1],,"[1] This date is much too late, inasmuch as the reply to it printed by Briscoe is dated June 1790. NB 1790 in the English text is rendered y vlein shoh (this year) in the Manx."
"The Rev John Kewley of Ballafreer was Chaplain of St. Matthews, Dglas. 1802-1810, He was also Master of the Grammar Schl. For that period. He had an assistant named McMeekin, Probably father of the McMeiken, Castletown.",,
WC.,,
My Chaarjyn as[2],MY FRIENDS AND COUNTRYMEN!,[2] as—‘and’—this word is in a lighter ink – perhaps ‘My chaarjyn’ was judged to be sufficient by the original writer.
"     Myr ta Duke yn ’Nhellan shoh jercyt rish ayns traa giare, as toogeil er ny ghoail dy gheddyn ^{Enmyn gys} Scriuyn dy vooise dy ve currit da, te feer ymmyrchagh dy hoiljagh diu kys ta cooishyn shassoo eddyr yn Ellan as eshyn, dy vod shiu briwnys vel yn cheet echey gys yn[3] ’nhellan son y foas echey hene ny son y vieys euish.","     As the Duke of this island is expected shortly, and pains are taken to procure names to a very Extraordinary Address to His Grace, It becomes highly necessary to explain how matters stand between the Island and him, that you may be able to judge whether his visit is meant to answer his own purpose or for your good. ",[3] In the manuscript the n of yn is struck through.
"     Tra haink Chiarn yn ’Nhellan shoh ayns Possession jeh Ellan Vannin, yn chied toshiaght ren eh dy vrishey yn Act jeh ^{y} Settlement[4], foh’n smooinaght nagh row ny Eirinee veg agh Tennys, ayns ny Baljyn oc, choud’s ballish yn Chiarn, as nagh row e Ayr veg agh Tennys son traa e Vioase[5], tra ren eh yannoo eh; son yn Oer shoh va Cooish liauyr scruit as soit kion-ennee roish three Ard-leig^{h}daryn[6] ayns Saghsyn, son ny smooinaghtyn oc, agh va ny smooinaghtyn oc noie  Chiarn yn Ellan. myr shoh, yn naa hrial ren eh va ’sy vlein 1780 dy chur lesh Bill jeh’n Keint ’sdanjeareee roish Parliament Haghsyn fegooish yn toiggal sloo ^{y choyrt jeh} da Cummaltee Vannin.","     When His Grace came into possession of the Lordship of Mann, the first attempt was to attack and invade the Act of Settlement, under an Idea that the Land-Owners were Tennants-at-will to their Estates, and that his Ancestor was only Tenant-in-Tail at the time of passing it : To this End a voluminous Case was laid  before three eminent Lawyers in England for their Opinion, which happened to be against his Grace. Thus Circumstanced, his next attempt was in 1780, to bring a Bill of a most dangerous kind into the British Parliament, without the smallest Notice to you. ","[4] The word jeh is struck through here, so it seems ‘yn Act jeh Settlement’ (The Act of Settlement) has been changed to ‘yn Act Settlement’ (the Settlement Act).
[5] son traa e vioase] son traa e vioys — ‘for the time of his natural life’. This is underlined in the manuscript.
[6] Ard-leig^{h}daryn] ard-leighderyn – ‘lawyers’."
"     Ren yn Chiare as feeid— ta Raanteenyn looit da’n Thea, as ta goail ayrn cha nee jeh’n chooid sloo jeh’n Cheer, shassoo noie yn Bill, as chur ad eh gyn Bree, liorish yn jannoo ocksyn, foddee shiu cooinaght, va’n Act of[7] y Settlement[8] jeant shickyr, lurg da’n chairys eu gys nyn Maljyn er ve currit mow liorish Shen-ayryn y Duke.","     The Keys however —sworn Guardians of the Country, and proprietors of no inconsiderable part of the landed Property  in it --- resisted this bill, and down it came to the ground. By their means you’ll recollect the Act of Settlement was obtained, after your Tenures had been destroyed by his Grace’s Forefathers. ","[7] Of] this word is struck through.
[8] va’n Act of y Settlement] clearly the writer was not sure of how to translate ‘The Act of Settlement’, and seems to have begun with ‘’n Act of Settlement’, then decided to drop the ‘of’ and use a lexically English (except for the article), but grammatically Manx version, and seems to have been undecided between ‘Act y Settlement’ — ‘The Act of the Settlement’, and ‘’n Act Settlement’ — ‘The Settlement Act’."
