Manx,English,Notes
O SCRIEUDEYR vannee! ta my veean boggoil,O Blessed writer! My joyful desire ,
"Ayns jeeaghyn jeï, lesh coointaghtyn gherjoil","In looking back, with happy memories ",
"As eunys anmey, goaill aym pene y tra; ","And souful delight, taking time for myself; ",
Chammoo jaroodym eh—cha jean dy bra;—,Neither will I forget it—I never will;—,
"Yn imbagh aalin shen jeh m’aegid meïy[1],","That beautiful season of my happy youth,",[1] meïy—unattested elsewhere – a contraction of maynrey? Or mea ‘luxurient’? 
"Cuin va my vea lane soylley, as dyn seïy,","When my life was full of joy, and without agitation,",
"D'imnea; eisht ’smaanrey lhiam dty skeeayll,","Of anxiety; then, how happy I am with your news,",
"Soiljagh’ dy baghtall roshtynys dty cheayll,","Explaining clearly the attainment of your sense,",
"Yn skeeal cha milllsh, as cha meeley roï ; ","The news so sweet, and so smooth running;",
"Feeu v’er ny scrieu, as sth’ill smoo feeu dy lhaïh.","Worthy of being written, and still more worth reading,",
Resoon lesh onid as lambaanys dooie ; ,"Reason with innocence and due childishness,",
"Coyrt raaue da’n scollag, ","Giving a warning to the youngster, ",
Raaue da’n chendeeaght cooie.,A warning suitable for the old.,
"Ayns coraa dorragh ’eer myr screuit ta’n ghoo, ","In a dark voice, even as the word is written,",
Ta coamrey’n ysseree lesh soiljey smoo ;,"The clothing of knowledge with more explanation,",
Geiyrt da sampleyr ghraioil yn YEESEY noo.,Following the loving example of holy JESUS.,
"Cha derrym ennym ort — veagh shen dy lioor,","I will not name you — that would be enough,",
"Dy yientyn floutt, as roost ’oo jeh dty ghloyr. ","To generate insult, and strip you of your glory.",
"Agh ga dy vel mee chionney'r binn yn oaie,","But although I am close to the corners of the grave,",
As coontey beg jeh nheeghyn nagh vel chaïee ; ,"And think little of things that are not everlasting,",
"Fooast verrym moylley da’n ERTREOLTAGH vie, ","Yet I praise the good COMPASSIONATE ONE,",
"Ta, lesh e choyrle, leeideil yn annym thie. ","Who, by his counsel, leads my soul home.",
"Smooar veagh y foays dauesyn ta seïyt 'sy theihll, ","How great would be the benefit for those who are agitated in the world,",
Da lioaryn vie yn aegid dy chur geill : ,To pay attention to good books of youth:,
,,
"Yn dooinney prowal ny va’n guilley cre’al, ","The man proves that which the boy was believing,",
"Ayns gerjagh, shee, as boggey, teh partail; ","In happiness, peace, and joy, he partakes,",
"Ayns ynnyd mergey ersyn[2], ghied ersooyl,","Instead of corroding him, stealing away,","[2] mergey ersyn – meaning unclear, could be corroding him."
"Lesh crout y Jouyll,—myr maarlagh ","With the craft of the Devil, like a thief",
cheet ny chooyl.,coming behind him.,
"Yn stoyr dy ynrickys va ayns e chree, ","The store of faithfulness that was in his heart,",
As cleayn’ yn annym beayn veih oghrish sheeant e YEE.,And persuades the eternal soul from the holy bosom of his GOD.,
