PhraseNumber,Manx,English,Notes
,,1. — The Body and its Attributes.,
1,"Faggys ta my lheiney, agh ny sniessey ta my chrackan "," Near is my shirt, but nearer is my skin (see Clothing and Selfishness).",
2,Ta craplag smoo ayns dty hoyn nish na va ro'ee , There is a wrinkle more in thy posterior now than there was before.,
3,Freayl y craue glass , Keeping the bone green (see Health).,
4,Ta chengey ny host ny share na olk y ghra , A silent tongue is better than evil speaking (see Evil).,
5,Ta fuill ny s'chee na ushtey , Blood is thicker than water (see Water).,
6,Sniessey yn uillin na yn doarn , The elbow is nearer than the fist.,
7,Ta cree dooie ny share na kione croutagh , A kind heart is better than a crafty head (see Kindness and Imposture).,
8,"Easht lesh dagh cleaysh, eisht jean briwnys "," Listen with each ear, then do judgment (see Judges).",
9,Cre'n chluic ta 'sy hoyn , What a jerk in his posterior.,Said of a conceited person.
10,"Chengey lhiam, chengey lhiat "," Tongue with me, tongue with thee (see Inconstancy).",Said of an inconstant person.
11,"Guilley smuggagh, dooinney glen,","A snotty boy, a clean man,",
,"Inneen smuggagh, sluht dy ven ","A snotty girl, a slut of a woman (see Womankind).",
12,"Tra scuirrys y laue dy choyrt, scuirrys y veeal dy voylley "," When the hand ceases to give, the tongue will cease to praise (see Poverty).",
13,Voish y laue gys y veeal , From the hand to the mouth.,
14,"Soddag chamm, bolg jeeragh "," Crooked bannock, straight belly (see Food).",
15,Ta lane caillit eddyr y laue as y veeal , There's much lost between the hand and the mouth (see Food).,
16,"Ass shilley, ass smooinaghtyn "," Out of sight, out of memory (or mind).",
17,"Cha vel fer erbee cha bouyr, as eshyn nagh jean clashtyn "," There is no one so deaf, as he who will not hear.",
18,,He is as fat as a puffin (see Birds).,
19,Sniessey yn uillin na yn cloan , Nearer [is] the elbow than the children (see Selfishness and Children).,
20,Cha vow laue ny haaue veg , The idle hand gets nothing (see Idleness).,
21,"Kione mooar er y veggan cheilley, as kione beg gyn veg edyr; towse cheilley rish "," A great head with little wit, and a little head without any; measure by wit (see Wisdom).",
22,Ta dty lhiasagh dty ghoarn , Thy recompense is thy fist (see Independence).,
23,Eddyr daa stoyl ta'n toyn er laare ," Between two stools the posterior is on the floor (see House, etc.).",
24,T'eh feer aasagh cur fuill ass kione carragh , It is very easy to make a scabby head bleed (see Health and Disease).,
,*Tasht seose cour ny cassyn gorley ," Store up for bad feet, i.e., for the time when they become decrepit (see Thrift).",
,,"2. — Food, Eating and Drinking.",
25,Un eam gys bee as jees gys obbyr , One call to food and two to work (see Work).,
26,Ta bee eeit jarroodit , Eaten food is forgotten (see Gratitude).,
27,Ta fooillagh naareydagh ny smelley na ee scammyltagh , Shameful leaving is worse than shameful eating (see Waste).,
28,Myr sniessey da'n chraue s'miljey yn eill , The nearer to the bone the sweeter the flesh.,
29,Gien nonney gortey , Feast or famine.,
30,Share goll dy lhie fegooish shibber na girree ayns lhiastynys , Better to go to bed supperless than to get up in debt (see Commerce).,
31,Ta broit cheh boggagh arran croie , Hot broth softens hard bread.,
32,S'giare y jough na yn skeall , How much shorter the drink than the story.,
33,"Commee obbyr, commee bee "," Sharing work, sharing food (see Co-operation and Work).",
34,Laa er-meshtey as laa er ushtey , A day tipsy and a day on water (seeModeration).,
35,"Dy ve aashagh 'syn oie monney shibber nagh ee,","To be easy at night much supper don't eat,",
35,Er nonney n'oo plaiynt ec laccal dty laynt ,Or else thou'lt complain of wanting thy health (see Moderation and Health).,
36,"Shibber eddrym, lhiabbee ghlen "," A light supper, a clean bed (see Health, Moderation, House).",
37,"Oie-Innyd my vees dty volg lane, my jig Laa Caisht yiow trost son shen "," Shrove Tuesday night, though thy belly be full, before Easter day thou mayst fast (hunger) for that (see Holy Days).",
14a. ,"Soddag chamm, bolg jeeragh "," Crooked bannock, straight belly (see The Body).",
15a. ,Ta lane caillit eddyr y laue as y veeal , There's much lost between the hand and mouth (see The Body).,
,,3. — Clothing.,
38,Ta fys ec dy chooilley ghooinney c'raad ta'n vraag gortagh eh , Every man knows where the shoe hurts him.,
39,"Ta ynsagh coamrey stoamey yn dooinney berchagh, as t'eh berchys yn dooinney boght "," Learning is fine clothing of the rich man, and it is riches of the poor man (see Knowledge and Riches).",
1a. ,"Faggys ta my lheiney, agh ny sniessey ta my chrackan "," Near is my shirt, but nearer is my skin (see The Body and Selfishness).",
,,4. — Death.,
40,Cha daink rieau baase gyn leshtal , Death never came without an excuse.,
41,Cha marroo as clagh , As dead as a stone (see Country Objects).,
42,Cha marroo as skeddan , As dead as a herring (see Fish).,
43,Baase y derrey voddey grayse y voddey elley , The death of one dog is the grace (life) of another dog (see Selfishness and Animals).,
44,Bioys da dooinney as baase da eeast , Life to man and death to fish (see Fish).,
,*Ny shiare ta'n oaie na bea eginagh , Better is the grave than a needy life (see Poverty).,
,*Ta moddey bio ny share na lion marroo , A living dog is better than a dead lion (see Animals).,
,,"5. — Health, Disease",
45,"Dy beagh ee er e volg myr fee er e dreeym,","If it were on its belly as it is on its back,"," Spoken of the itch and other skin-affections supposed to be caused by insects which lie with their feet to the skin and cannot therefore burrow into the flesh and so cause death — ""over the stile"" implying the churchyard."
,Shimmey mac dooinney yinnagh ee harrish y cheym ,Many a son of man would it put over the stile (see Church and Insects).,
46,Goll sheese ny lhargagh , Going down the slope (see Country Objects).,Failing in health.
3a. ,Freayl y craue glass , Keeping the bone green (see The Body).,
24a. ,Te feer aasagh cur fuill ass kione carragh , It is very easy to make a scabby head bleed (see The Body).,
35b. ,"Dy ve aashagh 'syn oie monney shihber nagh ee,","To be easy at night much supper don't eat,",
,Er nonney n'oo plaiynt ec laccal dty laynt ,Or else thou'lt complain of wanting thy health (see Food and Moderation).,
36a.,"Shibber eddrym, lhiabbee glen "," A light supper, a clean bed (see Food, Moderation, and House).",
,,6. — Hunger.,
47,Brishys accyrys trooid boallaghyn cloaie , Hunger will break through walls of stone (see Country Objects).,
48,Cha dennee rieau yn soogh y shang , The glutton never felt for the starving (see Gluttony).,
,,7. — Love and Instinct.,
49,Furree y mwaagh rish e heshey ," The hare will stop for his mate, Or:",
,"S'keoi as ta'n mwaagh, furree eh rish e heshey "," Wild as is the hare, he will stop for his mate (see Animals).",
58a. ,,"When gorse is out of blossom, kissing's out of fashion (see Plants and Customs).",
,,"8. — Youth, Age.",
50,"Quoi erbee s'beayn, cha beayn y chenndiaght (or, cha vel y chenndiaght beayn) "," Whoever is durable, the aged is not durable.",
,"*Myr shinney cagh, smessey cagh "," The older one is, the worse he is.",
,,10. — God.,
51,"Dy chooilley ghooinney er e hon hene, as Jee son ooilley "," Every man for himself, and God for all.",
52,Dy der Jee dou e vannaght , God give me His blessing (a blessing asked of elders).,
53,Dy bannee Jee oo , God bless thee (the answer).,
54,Dy bishee Jee shiu , God prosper you.,"Said in passing ploughmen, reapers, etc."
55,"Tra ta un dooinney boght cooney lesh dooinney boght elley, ta Jee hene garaghtee "," When one poor man helps another poor man, God himself laughs [for joy] (see Poverty).",
,,14. — Customs.,
56,"Mannagh vow cliaghtey cliaglttey, nee cliaghtey coe "," If custom be not [indulged with] custom, custom will weep.",
57,,"To have the bridge and staff (see note under ""Master and Servant"").",
58,,"When gorse is out of blossom, kissing's out of fashion (see Love and Plants).",
,,15. — Caution and Prudence.,
59,Ceau craue ayns beeal drogh voddey , Throw a bone into a bad dog's mouth (see Animals).,
60,,You must summer and winter a stranger before you can form an opinion of him (see Races).,
61,Ta aile meeley jannoo bry millish ," A slow fire makes sweet malt (see Patience, Industrial Objects, Fire).",
62,Foddee yn moddey s'jerree tayrtyn y mwaagh ," Maybe the last dog will catch the hare (see Patience, The Chase, Animals).",
63,Lurg roayrt hig contraie , After spring-tide will come neap (see Patience and The Sea).,
64,"Leah appee, leah lhoau "," Soon ripe, soon rotten (see Fruit).",
65,"Millish dy ghoaill, agh sharroo dy eeck "," Sweet to take, but bitter to pay (see Commerce).",
,,"17. — Concord, Strife.",
