Manx,English,Notes
Pledeilys eddyr daa Vanninagh dooie.,A talk between two native Manxmen.,
(Juan as Illiam meeiteil.),,
,(Juan and Illiam meeting),
,,
Juan.—Tou cheet.,Juan.—You’re coming.,
"Illiam.—Ta. Tou uss cheet neesht","Illiam.— Yes, you’re coming too.",
J.—Ta moghree fihn ayn.,J.—It’s a fine morning.,
"I.—Ta shen ayn, agh ta tra mie rastagh harrish ain.","I.—That’s right, but a pretty rough time we’ve had.",
J.—Ta dy jarroo. Geayll oo jehn lhong va trait laa chaiee mooie jeh Kione Yerby?,J.—Yes indeed. Did you hear of the ship that was beached the other day off Jurby Head?,
I.—Dy ve shickyr,—nagh row eh sy fabyr?,I. To be sure—wasn’t it in the paper?,
J.—Cren pabyr tou uss goaill?,J.—What paper do you take?,
"I.—Ta ga ny three jin goaill yn Heral eddyr shin; as shimmey oor plesal te cur orrin ceau; te cur shaghe yn traa, chouds te ginsh jeh ny reddyn ta goll.","I.— There are two or three of us taking the Herald between us, and it has caused us to spend many a pleasing hour; it passes the time, while it tells of the things that are going on.",
J.—Ta Juan Bowyr as mee hene goaill y Sun eddyr shin. Taa wite pleat jeant ayn er y gherrid shoh mychione y Chiare-as-Feed—wite jinglerys.,J.—Deaf Juan and myself take the Sun between us. There’s so much prattle done in it recently about the Keys—so much wrangling.,
,,
I.—Hoh! Ommijys leh—jus ryd dy lieeney'n duillag.,I.— Oh! Nonsense lad—just a thing to fill the page.,
J.—Ta ny smoo na shen ayn. Vell oo toiggal ad?,J.—There’s more than that in it. Do you understand them?,
"I.—Tad mie doillee lhiam ny cheayrtyn, fooast strow hene dy vel mee laanvie.","I.—I find them pretty difficult sometimes, still I think I’m very good.",
"J.—Insh dou cre tan fogle lhiauyr shen meanal, Rebrezentashyn. Tad gusal mennic eh, agh cha vel y cheeall my chione cre te meanal.","J.— Tell me what that long word ‘rebrezentashyn’ means. They often use it, but not the sense about what it means.",
"I.—Cha sayd cre Rebrezentashyn! Tou dty voght glen ny yei, mannagh sayd cre Rebrezentashyn. Jeeagh sy Dicksinerry, ghooinney, as yiow jeeragh eh. Vel Dicksinerry ayd—foddee nagh vel—yeeaseeyms nane dhyt.","I.—You don’t know what rebrezentashyn is! You’re a right wretch then, if you don’t know what rebrezentashyn is. Look in your dicksinerry, man, and you'll find it right away. Do you have a dicksinerry—maybe not—I'll lend one to you.",
,,
"J.—Oh ta shann unnane aym ny lhie er y latt ayns shen sthie, agh ta ny duillaggyn eic faagys ooilliu reabit assjee; agh yioym un ogle aynjee fooast—nee un duillag shen.","J.—Oh, I have an old one lying on the rack indoors there, but its pages are nearly all ripped out of it, but I’ll find one word in it yet—one page will do that.",
