Manx,English,Notes
Shilg yn Drayne.[1],Hunt the Wren,[1] Shilg y Drayne] [Shelg y Drean]
FIRST PART.,,
"Higmyan shilg, yn drayne, ","We’ll come hunting, the wren",
"Dooyrt[2] Robbyn yn Vobbyn, ","Said Robin the Bobin,","[2] In the first half of the original [dooyrt] is spelled [dooyt] in each case, here corrected."
"Higmyan[3] shilg, yn drayne, ","We’ll come hunting, the wren",[3] Higmyan] [Higmain] the attached pronoun [main] ‘we’ (more often [mayd]) is spelled [myan] in the first first only.
"Dooyrt Ruchard yn Robbyn, ","Said Richard the Robin,",
"Higmyan shilg, yn drayne","We’ll come hunting, the wren",
Dooyrt Juan y Thallooin ,Said Juan of the Land,
"Higmyan shilg, yn drayne ",Will come hunting the ren,
Dooyrt dy chooilley unnane. ,Said every one.,
"O creed[4], viow main eh","O where, will we find him",[4] creed] [c’raad] ‘where’
Dooyrt Robbyn Vobbyn ,"Said Robin the Bobin,",
"O creed, yiow main eh ","O where, will we find him",
"Dooyrt Ruchard yn Robbyn, ","Said Richard the Robin,",
"O creed, yiow main eh Dooyt Juan y Thallooin, ","O where, will we find him",
"O creed, yiow main eh ",Said Juan of the Land,
Dooyrt dy chooilley unnane.  ,"O where, will we find him",
,Said every one.,
Ayns y thammag glass shid ,In yonder green bush,
Dooyrt Robbyn yn Vobbyn ,"Said Robin the Bobin,",
Ayns y thammag glass shid ,In yonder green bush,
Dooyrt Ruchard yn Robbyn. ,"Said Richard the Robin,",
"Ayns y thammag glass shid, ",In yonder green bush,
Dooyrt Juan y Thallooin ,Said Juan of the Land,
Ayns y thammag glass shid ,In yonder green bush,
Dooyrt dy chooilley unnane.,Said every one.,
"Ny how eh, ny how eh[5] ","Don’t warn him, don’t warn him","[5] Ny how eh] unkown phrase. In this translation it is assumed to be a typo for [Ny row eh], a non-standard spelling of [Ny raaue eh] ‘Don’t warn him’ — although [raaue] is described as a verb by Cregeen, it is elsewhere found only as a noun. Alternative readings; [Ny low eh] ‘Don’t allow him’ (to go), [Ny tow eh] ‘Don’t tow him’. Whether any of these was the intended phrase is questionable."
Dooyrt Robbyn yn Vobbyn ,"Said Robin the Bobin,",
"Ny how eh, ny how eh ","Don’t warn him, don’t warn him",
Dooyt Ruchard yn Robbyn ,"Said Richard the Robin,",
"Ny how eh, ny how eh ","Don’t warn him, don’t warn him",
Dooyrt Juan y Thallooin ,Said Juan of the Land,
"Ny how eh, ny how eh ","Don’t warn him, don’t warn him",
Dooyrt dy chooiley unnane. ,Said every one.,
"Cre’n aght thaarys, main eh ",How will we catch him,
Dooyrt Robbyn yn Vobbyn ,"Said Robin the Bobin,",
"Cre’n aght thaarys, main eh ",In yonder green bush,
Dooyrt Ruchard yn Robbyn ,"Said Richard the Robin,",
"Cre’n aght thaarys, main eh ",In yonder green bush,
Dooyrt Juan y Thallooin ,Said Juan of the Land,
Cre’n aght thaarys main eh ,In yonder green bush,
Dooyrt dy chooilley unnane. ,Said every one.,
Lesh madjyn as claghyn ,With sticks and stones,
Dooyrt Robbyn yn Vobbyn ,"Said Robin the Bobin,",
Lesh madjyn as claghyn ,With sticks and stones,
Dooyrt Ruchard yn Robbyn ,"Said Richard the Robin,",
Lesh madjyn as claghyn ,With sticks and stones,
Dooyrt Juan y Thallooin ,Said Juan of the Land,
Lesb Madjyn as claghyn ,With sticks and stones,
Dooyrt [dy] chooiley unnane. ,Said every one.,
"HENRY SAYLE, Bride Village, March 5th, 1896.",,
SECOND PART.,,
"Teh ain nish, teh ain nish ","We have him now, we have him now",
Dooyrt Robbyn yn Vobbyn ,"Said Robin the Bobin,",
"Teh ain nish, teh ain nish ","We have him now, we have him now",
Dooyrt Ruchard yn Robbyn. ,"Said Richard the Robin,",
"Teh ain nish, teh ain nish ","We have him now, we have him now",
Dooyrt Juan y Thallooin ,Said Juan of the Land,
"Teh ain nish, teh ain nish ","We have him now, we have him now",
Dooyrt dy chooilley unnane. ,Said every one.,
Cre’n aght yiow main thie; ,How will we get (him) home;,
Dooyrt Robbyn yn Vobbyn ,"Said Robin the Bobin,",
Cre’n aght yiow main thie ,How will we get (him) home;,
Dooyrt Ruchard yn Robbyn. ,"Said Richard the Robin,",
Cre’n aght yiow main thie ,How will we get (him)  home;,
"Dooyrt Juan y Thallooin, ",Said Juan of the Land,
Cre’n aght yiow main thie ,How will we get (him)  home;,
Dooyrt dy chooilley unnane. ,Said every one.,
Ayns cayrt vooar ymballagh ,In the big brewers cart,
Dooyrt Robbyn yn Vobbyn ,"Said Robin the Bobin,",
Ayns cayrt vooar ymballagh ,In the big brewers cart,
Dooyrt Ruchard vn Robbyn. ,"Said Richard the Robin,",
Ayns cayrt vooar ymballagh ,In the big brewers cart,
Dooyrt Juan y Thallooin ,Said Juan of the Land,
Ayns cayrt vooar ymballagh ,In the big brewers cart,
Dooyrt dy chooilley unnane. ,Said every one.,
Cre’n agh yiow main eeit ,How will we get him eaten,
Dooyrt Robbyn yn Vobbyn ,"Said Robin the Bobin,",
Cre’n agh yiow main eeit ,How will we get him eaten,
Dooyrt Ruchard yn Robbyn ,"Said Richard the Robin,",
Cre’n agh yiow main eeit ,How will we get him eaten,
Dooyrt Juan y Thallooin ,Said Juan of the Land,
Cre’n agh yiow main eeit ,How will we get him eaten,
Dooyrt dy chooilley unnane. ,Said every one.,
Lesh skynnaghyn as forkyn ,With knives and forks,
Dooyrt Robbyn yn Vobbyn ,"Said Robin the Bobin,",
Lesh skynnaghyn as forkyn ,With knives and forks,
"Dooyrt Ruchard yn Robbyn, ","Said Richard the Robin,",
Lesh skynnaghyn as forkyn ,With knives and forks,
Dooyrt Juan y Thallooin ,Said Juan of the Land,
Lesh skynnaghyn as forkyn ,With knives and forks,
Dooyrt dy chooilley unnane. ,Said every one.,
Ny sooillyn dys ny doal[6] ,The eyes to the blind,[6] ny doal] [ny doail]
Dooyrt Robbyn yn Vobbyn ,"Said Robin the Bobin,",
Ny sooillyn dys ny doal ,The eyes to the blind,
"Dooyrt Ruchard yn Vobbyn, ","Said Richard the Robin,",
Ny sooillyn dys ny doal ,The eyes to the blind,
Dooyrt Juan y Thallooin ,Said Juan of the Land,
Ny sooillyn dys ny doal ,The eyes to the blind,
Dooyrt dy chooilley unnane. ,Said every one.,
Ny lurgaghyn dys ny croobee ,The legs to the lame,
Dooyrt Robbyn yn Vobbyn ,"Said Robin the Bobin,",
Ny lurgaghyn dys ny croobee ,The legs to the lame,
Dooyrt Ruchard yn Robbyn ,"Said Richard the Robin,",
Ny lurgaghyn dys ny croobee ,The legs to the lame,
Dooyrt Juan y Thallooin. ,Said Juan of the Land,
Ny lurgaghyn dys ny croobee ,The legs to the lame,
Dooyrt dy chooilley unnane. ,Said every one.,
Ny craueyn dys ny moddee ,The bones to the dogs,
Dooyrt Robbyn yn Vobbyn. ,"Said Robin the Bobin,",
Ny craueyn dys ny moddee ,The bones to the dogs,
Dooyrt Ruchard yu Robbyn ,"Said Richard the Robin,",
Ny craueyn dys ny moddee ,The bones to the dogs,
Dooyrt Juan y Thallooin ,Said Juan of the Land,
Ny craueyn dys ny moddee ,The bones to the dogs,
Dooyrt dy chooilley unnane. ,Said every one.,
"[THE END. | Bride, March llth, 1896. HENRY SAYLE.",,
