English,Manx,Notes
"The Manks Oiel-Verree, or Christmas Eve Customs.","Prose Translation into the Manks Tongue,",
The Notes (a) — (j) are those in the 1844 edition.,,
,By Mr Robt. E. Christian.[2] ,"[2] Robert E. Christian of Cleveland, Ohio, who translated into English most of the carvals that were published in Mona’s Herald between 1886 and 1891, and collected in A. W. Moore’s Carvallyn Gailckagh."
"By Wm. Kerruish, R.N.[1]",,"[1] Error for William Kennish. The poem was published in his collection Mona’s Isle, and Other Poems (London: J. Bradley & Simpkin, Marshall & Co., 1844) xv. See Stephen Miller, Manx Notes 36 (2005) https://chiollaghbooks.com/manxnotes/MN036.pdf"
When dark December's dismal gloom,Tra t’an gourey grow cheet orrin,
"Came louring o'er the sky,","Lesh cowraghyn syn aer,",
"And snow-storms gather'd drear around,","As sterymyn-sniaghtey chaglum mygeart,",
"And Christmas feast was nigh,",As giens yn Ollick va faggys ;,
With all its merry-making time,Lesh ooilley ny traaghyn dy yinnalys,
"Of festival and glee,","Jeh laa feailley as gien,",
"Beginning with the good old rule,",Goaill-toshiaght lesh yn chenn cliaghtey —,
The Parish Oiel-verree[3] ; (a),Ec yn Oiel-verree skeery.,"[3] Spelt Ilvary here and below in the 1844 publication.
(a) The service performed in the Church on Christmas Eve in the Island. 	"
"When each young rustic with his lass,",Ta dagh scollag aeg as y graie ven-aeg.,
"Dress'd in their best attire,"," Combryt ayn's nyn eddagh shair,",
"Trudged onwards to the Parish Church,"," Joggall er gys yn keeyl skeery,",
Oft o'er their shoes in mire;,Mennick harrish nyn ’mragyn ayns laagh,
"But it was good old Christmas Eve,",As veh ec shen oie yn Ollick vie—,
At which time of the year,Ec leid y tra jeh'n ’vlein,
They pass'd each glen and haunted road,Rogh ad shaghey dagh gloan as raadyn oal,
"Without a spark of fear,",Fegoish breeneen dy aggle.,
For many a merry-making laugh,Shon shemmey gerraghty dy yennalys,
"Was heard along the moor,","Va ’er chlashtyn er yn asagh,",
Where meet in groups the neighb'ring  swains,Raad veet ayns sheshagh ny nabooyn aeg,
"Around some cottage door,","Mygeart dorrys part jeh ny thine, ",
Selected by majority,Reight lorish yn cheshaght oc hene,
"To be the starting post,",Son boayl daue dy goll veih.,
"Through the good nature of the dame,","Troid aigney mie vosh ben-y-thie,",
And drollery of the host;,As raghyn aitt far-thie :,
"And daughters smart perchance they had,","As ennenyn aghtal oddagh ve oc,",
"Attractive too and fair,","Graihagh neesht as aalin,",
While none seem'd happier than the dame,Choud’s veg ha row ny ’smanrey ny ben-y- thie,
"To see them, pair and pair,","Dy akin ad piyr as piyr,",
"Start off in all the pride of youth,","Goll jeh uns ooilley moarn nyn aegid,",
"As she had done before,","Myr veih hene er nenew roie,",
"On many a merry Christmas Eve,","Er ymmyddy dy oiaghyn Ollick riagh,",
From the same cottage door.,Vosh dorrys yn thie cheddyn. ,
"The parish bell rung merrily,","Kiauline y skeerey bingys riagh,",
"Indeed as well it might,","Dy jarroo s'mie oddagh eh,",
"For through the year, save at that time,","Son car ny bleaney, saue yn tra shen,",
It never rung at night.,"Cha woal ah rieu s'yn oie,",
Group after group now fast arrived,Sheshaght lurg sheshaght va chaglym  choan,
"From all the parish round,","Vosh ooilley yn skeerey mygeart,",
While mirth and rural jollity,Choud's gerraghty as spoart cheerey,
Did 'mongst the whole abound.,Ren fud yn slane bishaghey. ,
Some came across the mountain's side.,"Paart chyt tessen lhiattee yn shlu,",
Some many weary miles,Paart ymmydy meelaghyn skee,
"O'er hills, and lowland marshy fields,","Harrish crink as cawnyn as magheryn  flught,",
"O'er hedges, gates, and stiles ;","Harrish cleigh, dorlishyn, as cheamryn;",
"But it was good old Christmas Eve,","Agh ve oie vie yn chenn Ollick,",
"Which comes but once a year,",Ta cheet agh ceart sy vlean—,
"Hail, rain, or snow, could not detain",Flaghey ny sniaghtey cha jynnagh lettall,
Them from th' Oiel-verree cheer.,Ad vieh boggey yn Oie'l-verree. ,
"The lasses with their gowns tuck'd up,","Ny innenny lesh ny oanrey chemmit seose,",
"And strongly pinn'd behind,","As lajyr freenyt chew choolow,",
"Were led by lads along the aisle,","Va'd leedyd lorrish ny gyllyn troid yn  ahlley,",
"Their landlord's seat to find, (b)","Seatyn ny mansteryn dy geddyn,","(b) As but few of the better-thinking sort of the community visited the church on this night, the rustics had free access to each of their landlord's seats. "
"With candles formed in many a branch, (c)","Lesh cylyn jeant ayns muraan banglane,",(c) It was customary for the females to manufacture candles formed into branches for this occasion. 
"The pew t' illuminate,","Yn soiagan-keeyllagh dy soilshagey,",
