Manx,English,Notes
1802,,
MANNANAN,LITTLE ,
BEG,MANNANAN,
MAC Y LEIRR;,SON OF THE LEIRR;,
"NY, SLANE COONTEY JEH","OR, A FULL ACCOUNT OF",
ELLAN VANNIN:,THE ISLE OF MAN;,
"SOILSHAGHEY,","SHOWING,",
Cre’n Mayll v’er ny Mannanee da Mannanan; kys ren Noo Parick eshyn y imman ersooyl as e Heshaght; kys hug Parick ayn Creestiaght; as coontey jeh ny chied Aspickyn va ’syn Ellan.,What rent was due from the Manx people to Mannanan; how Saint Patrick drove him and his army away; how Patrick established Christianity; and an account of the first Bishops that were in the Island.,
"Myrgeddin coontey jeh’n chied Ree va Mannin, as e Lhuight; coontey jeh ny Chiarnyn, as kys haink[1] yn Ellan gys Clein Stanley","Also, an account of the first kingthere was of Mann, and his line; an account of the Lords, and how the Island came to the Stanley clan.",[1] haink] text kiank
PRENTIT ’SY VLEIN 1802. [2],,
ARRANE,The Song of,
MANNANAN,Little,
BEG,Mannanan,
MAC Y LEIRR.,Son of the Leirr.,
"Dy neaishtagh shiu agh rish my Skeayll,[2]","If you were to listen to my story,",[2] Skeayll] Vallancey skeall
As dy ving lhieu ayns my Chant:,"And if in my chant you find it sounds good,",
"Myr share dy voddyms lesh my Veeall,","(Then) as best I can with my mouth,",
Yinnin diu geill da’n Ellan Sheeant., I would give you notice of the Blessed Isle.,
"Quoi yn chied er ec row rieau ee,","Who the first one was who ever had it,",
Ny kys eisht myr haghyr da;,Or how thence it turned out;,
"Ny kys hug Parick ayn Creestee,","Or how Patrick installed a Christian,",
Ny kys myr haink ee gys Stanlaa.,Or how as it came to Stanley.,
"Mananan beg va Mac y Leirr,","Little Mannanan was the Son of the Leirr,",
Shen yn chied er ec row rieau ee;,That was the first one who ever had her;,
"Agh myr share oddym’s cur-my-ner,","But as best I can observe,",
Cha row ec[3] hene agh An-chreestee.,It (the island) had only heathens.,[3] ec] Vallancey eh
"Cha nee lesh e Chliwe ren eh ee reayll,","Not by his sword did he keep it,",
"Cha nee lesh e Hideyn, ny lesh e Vhow;","Not by his arrows, or by his bow;",
"Agh tra aikagh eh Lhuingys troailt,","But when he would see a roving fleet,",
Oallagh eh ee mygeayrt lesh Keaue.,He would hide it (all) around with mist.,
"Yinnagh eh Dooinney ny hassoo er Brooghe,",He would make a man standing on a cliff,
Er-lhieu shen hene dy beagh ayn Keead;,Appear to them as if there were a hundred;,
"As shen myr dreill Mananan keoie,","And that is how wild Mananan,",
Yn Ellan shoh’n-ayn lesh cosney Bwoid.[4],kept this Island by winning victory.,"[4] Bwoid—neither of the usual definintions for bwoid—‘handsomeness’, or ‘penis’, are suitable translations here. Bwoid seems rather to mean ‘victory’, (Old Irish; búaid) and therefore be cognate with Scottish Gaelic buaidh—‘success, conquest, victory, consequence, effect, impact, influence, sway, mastery, predominance’ (Dwelly). The spelling booydje in ‘Manninyn Beg va Mac yn Lear’ (Mona's Herald, Saturday, July 23, 1836) supports this view. The use of the word here, in a pamphlet almost certainly designed as veiled criticism of the Duke of Atholl’s avaracious view of taxation, suggests it was current at the time of publication."
"Yn Mayll deeck dagh unnane ass e Cheer,","The rent that each individual paid from his land,",
Va bart dy Leaogher-ghlass dagh blein;,Was a bundle of green bull-rushes every year;,
"As eisht shen orroo d’eeck myr Keesh,","And that then they had to pay as tax,",
"Trooid magh ny Cheerey dagh Oie-Lhoine, [3]",Throughout the land every St John’s Eve.,
"Paart ragh lesh y Leoagher seose,",Some would go with the rushes up,
Gys yn Slieau mooar ta heose Barrool;,"To the great mountain that is up Barrule,",
"Paart elley aagagh yn Leoagher wass,","Some others would leave the rushes down here,",
Ec Mananan erskyn Keamool.[5],"At Mananan, above Keamool.","[5] Keamool] there is no satisfactory explaination of where or what Keamool is or was. In ‘Manninyn Beg va Mac yn Lear’ (Mona's Herald, Saturday, July 23, 1836) the spelling given is; Kemmooyl."
"Myr shen eisht ren adsyn beaghey,","So like that they lived,",
O er-lhiam pene dy by-veg nyn Geesh;,"O, I think myself that their tax was small,",
"Gyn Kiarail as gyn Imnea,","No care and no worry,",
