Manx,English,Notes
,"An ancient Chronicle of Man, printed in the Manx, 1778.",
Mananan,,
,,
,                    i.e.,
"Dy neaishtagh shiu agh rish my skeall,","Would you but listen to my song,",
As dy ving lhieu ayns my chant:,"And hear my tuneful Muse a while,",
"Myr share dy voddin’s my Veall,","As best I could, I would prolong",
Yinnin diu geill d’an Ellan Sheeant.,The history of this Blessed Isle.,
,,
"Quoi in chied er ec row rieau ee,",Who first was ruler of the land,
Ny kys eisht myr haghyr da:,"And what at length to him befel,",
"Ny kys hug Patrick ayn Chreestee,","How Patrick christianiz’d the realm,",
Ny kys myr haink ee gys Stanlaa.,"And Stanley held it, I shall tell.",
"Mananan beg, va Mac y Leirr,","Mananan beg, hight Mac y Lerr,",
"Shen yn chied er ec row rieau ee,","Was he the first that ruled the land,",
"Agh myr share oddym’s cur-my-ner,",A Pagan and a Sorcerer,
"Cha row eh hene ah An-chreestee, &c. &c.","He was at best I understand, &c. &c.",
,"See Note (M), Remarks on this Poem. ",
,"NOTE: M,510. P.549: ",
,"MANANAN, a Manx Chronicle, translated from the original.",
,"     MANANAN beg, hight Mac y Ler",
,"Was he the first that ruled the land,",
,     A Paynim and a Sorcerer,
,He was as best I understand.,
,"     Not with his sword or with his bow,",
,That he his conquest could maintain;,
,"     But when as hostile fleet he saw,",
,He caused a mist to intervene.,
,"     Around the coast on every height,",
,"If he but placed a single man,",
,"     There by his Necromantick art,",
,Appeared a formidable clann.,
,"     Thus from all enemies secure,",
,"And his dominions all in peace,",
,     He long maintained a regal sway,
,O’er subjects fearless and at ease.,
,     Their yearly tribute but a load,
,"Of bent, or rushes, from the plain;",
,"     From every quarter of the land,",
,"Brought in at midsummer, a main.",
,"     Some were obliged to carry it up,",
,"And lay it down on famed Barrool,",
,"     Some were indulged below to stop,",
,At Manin’s Court above Kemool.,
,"     Thus lived the inhabitants of man,",
,"So light their tribute and so blest,",
,"     Devoid of trouble or of care,",
,"Or toil, to mar their happy rest.",
,"     But now Saint Patrick soon arrives,",
,"Superior in every art,",
,     And o’er the waves Mananan drives,
,With that viles crew that took his part.,
,&c. &c. &c. &c.,
