Manx,English,
"VANNINEE GHOOGHYSSAGH, AS OOILLEY SHIUISH YOAREEYN FEUDAGH, TA CUMMAL AYNS THALLOO VANNIN.","TO NATIVE MANX, AND ALL YOU COMELY FOREIGNERS THAT LIVE IN THE ISLE OF MAN.",
“Liorish moyrn ta anvea brishey magh: agh ta creenaght maroosyn ta goaill coyrl.[1]”,“By pride cometh contention: but with the well advised is wisdom”,[1] coryl—coyrle
"     Lesh laane taitnys ta me goaill orrym—pene dy oaltaghey shiu, er graih yn shee, as fea, ta nish ayns yn cheer ain.","     I am taking upon myself, with much pleasure, to welcome you, for the sake of the peace, and calm, that is now in our land.",
"     Ta mee goaill boggey meriu[2] veih grunt my chree, ayns dy vel yn boiraneys va mast yn theay blein y thouree, chaie, choud shoh er gholl dy bollagh lesh yn kione-my-liegh; s’feer e, “Nagh vel mooaralys ny drogh-yeantee agh giare.”","     I am rejoicing with you from the bottom of my heart, that the trouble that was amongst the people last summer is past, whilst this has gone completely towards the lower end (run it’s course); It is true, “the haughtiness of sinners is only short-lasting.”",[2] meriu—merriu
"     My Chaarjyn.—Quoi va ny screbblagyn[3] shen, ren liorish raaghyn[4] molteyragh, shlawin, as sleetçhagh, cleanney[5] whillin[6] jeh ny Manninee (paart ayns ônid nyn gree, as paart trooid molvaneys,) dy chur nyn laue gys Aghinyn geearree son tourt-mow[7] yn Chiar-as-feed, mârish ooilley ny oardaghyn, as vondeishyn, va cha kiaralagh chymnit dooinyn, as da nyn gloan, liorish nyn shenn—Ayraghyn?","     My friends, —Who were those scoundrels, tha, by means of deceitful, sneaky and slippery phrases, persuaded so many of the Manx (some in the innocence of their hearts, and some through stupidity,) to put their hands to Petitions asking for the abolition of the Keys, together with the arrangements, and advantages, that were so carefully bequeathed to us, and to our children, by our forefathers?","[3] screbblagyn—seems to be a perjorative derived from either screb—‘a scab’, or screblagh—‘scraping’.
[4] raahyn—raaghyn
[5] cleanney—cleayney
[6] whillin—whilleen
[7] tourt-mow—toyrt-mow"
"Camma[8] my caarjyn,—Ny traitooryn shen nagh goghe fea jeh’n Ard-whail, er-     derry hooar ad leigh noa dy caghlaa towshan yn argid-ruy, (as ta nish, as rieau er-dy-henney dy croutagh geam dy vel yn labree, as y dooinney boght, currit gys coayl liorish yn eer leigh cheddin,) as nagh der veg smoo son ping hostynagh nish, ny v’ad coyrt roie son ping Vanninagh,—adsyn ren liorish myngyraght, as saaseyn meelowal elley, jannoo cooid as cowrin jeh Lhuingys-vrisht, &c, —bouranyn ta commessey mârish drogh vraane. —fir-tammag nagh vel fys quoi va nyn Ayraghyn;—as adshen-enne[9], ren liorish saaseyn molteyraght goaill feeaghyn orroo-hene, as nagh jean geek nyn lhiastynys, ga dy vel palchey fort ayns nyn laue,—mârish lheid as ta mie er-dolchin nyn gleayshyn ve phollit[10], son nyn immeeaght-bea bleeantyn er-dy-henney ; ","Why! my friends— those traitors who would not desist from the High-Court until they got a new law to change the measurment of copper coinage, (and who are now, and ever since, craftily shouting that the labourer and the poor man are disadvantaged by means of the very same law,) and who won’t give any more for a British penny now than they were giving before for a Manx penny,— those who by pilfering and other illegal methods made a fortune from Shipwrecks, &c, —idiots that copulate with harlots. — bastards who don’t know who their fathers were; — and they are the very ones who, by deceptive methods, got themselves in arrears and won’t pay their debts, although they have means aplenty to hand, — as well as such as have well deserved for their ears to be cropped for their conduct years ago; ","[8] camma—cammah
[9] adshen-enne—ad shen hene
[10] phollit—‘cropped—From pollal / phollal —‘pruning’, ‘cropping’. Refers to the punishment of being put in a pillory (one such was situated in Castletown Square) with ears nailed to the structure, and being released by the ‘cropping’ (cutting off) of the ears."
"caghlaaghyn jeh my Fragymyn[11] cheddin ta ceau fainaghyn airhey, ny prashey, cooatyn doo, bussalyn bâney, as minnic[12] markiaghey ayns fainee : ny-yeih, my yeannagh dooinney ôna er-bee[13] treishteil boa, ny cabbyl, er fer jeu, fegooish yn argid laue, ny, feanish fondagh, veagh eh bunnys shikyr jeh surranse coayl.","there are many of these same wrong’uns wearing rings of gold, or brass, black coats, white scarves, and often riding in carriages; nevertheless, if any honest man entrusts a cow, or a horse to one of them, without the cash-in-hand, or, a reliable witness, he’d be almost certain of suffering a loss.","[11] Fragymyn—from Fragym—'out of the way of duty, awry. A low word.’ (Cregeen).
[12] minnic—mennick
[13] my yeannagh dooinney ôna er-bee—my yinnagh dooinney ôney erbee"
"     Cha vel mish graa[14] nagh vel focklyn dy ynsagh-lioaragh ec paart jeu, son ta mee er chlashtyn dy vel un dooinney ny-vud oc oddys, er oyryn vondeishagh da-hene, caghla keadyn[15] gys thousaneyn, lesh un chyndaa jeh’n edjag-screeuee. ","     I’m not saying some of them don’t have words of a literary education, for I’ve heard that one man amongst them can, for reasons advantageous to himself, change hundreds into thousands, with one ammendment of the pen.","[14] graa—gra
[15] caghla keadyn—caghlaa keeadyn—‘change hundreds’"
"     Ny-sodjey ny[16] shoh, ta Ferynsee bentyn gys yn Aglish[17] er ghoaill laue mâroo; gynoayltagh quoi t’er chionneaght croit hallooin, as t’er-y-fa-shen, smooinaght dy lhisagh yn theay lessoon ghoaill voishyn, as dy neign daue credjal as jannoo, myr ver eh roue.","     Furthermore, a teacher belonging to the Church has taken sides with them, a foreigner who has purchased a country cottage and is therefore thinking that the public should take a lesson from him, and that they have to believe and do as he instructs them.","[16] ny—na
[17] Aglish—Agglish"
"Ta’n Jeeoilagh shoh loyrt[18] dy lajer, as dy lhunagh[19], noi’n Chiar-as-feed. Ard-ooasle as Rahoil. “Teh dhanney[20] as creoie-wannallagh[21], cha vel aggyl er dy loayrt olk jeh ny pooaraghyn syrjey.”","This theologian speaks strongly and rudely against the Noble and Majestic Keys. “He is bold and stubborn, unafraid to speak badly of the highest powers.”","[18] loyrt—loayrt
[19] lhunagh—lunagh
[20] dhanney—daney / daaney
[21] creoie-wannallagh—creoi-wannallagh"
