Manx,English,Notes
PINGYN YN OMMIDAN,The Fool’s Pennies.,
"Ayns balley-mergee dy row, va fer-cheirdey enmysit Thom —, as v’eh ayr da queig dy chloan. Cha row eh er ny ve ass obbyr rish kiare bleeaney jeig my baillish gobbragh. Agh dynsee eh yn drogh-chliaghtey jeh goll gys y thie-oast marish shiartanse dy vlebinyn, bunnys dy chooilley laa. Ayns y voghrey er raad gys e obbyr, cha noddagh eh geddyn shaghey fegooish goll stiagh son bine, myr dooyrt eh hene, “dy choyrt yn gheay ass e veeal,” as dy gholl shaghey er e raad thie ec yn oie, fegooish goll stiagh dy yannoo byt dy chooish harrish pynt ny jees, ve red nagh hargagh eh smooinaghtyn er jannoo.","In certain market-town there was a tradesman called Tom —, and he was a father to five children. He wouldn’t have been out of work for fourteen years if he had been prepared to work. But he learnt the bad habit of going to the pub with several blockheads, almost every day. In the morning on his way to his work, he couldn’t get past without going in for a drop, as he himself said, “to put the wind out of his mouth”[1] and going past on his way home at night without going in to have a bit of a chat over a pint or two, was a thing he couldn’t think about doing.","[1] dy choyrt yn gheay ass e veeal—Perhaps an idiom equivalent to ‘to put the wind in his sails’, or ‘to freshen up’?"
"     Ny-cheayrtyn, as cha nee feer anvenick noadyr, ragh eh roish gys y thie-oast, as hoieagh eh sheese giu gys foddey lurg traa-lhie. Lheid y greim lajer ghow’n cleayn shoh er, derry heill y dooinney boght dy row eh red va nauyn da, as nagh voghe eh dy bragh rey rish.","     Sometimes, and not very seldom either, he would go to the pub, and he would sit down drinking until long after bedtime. Such a strong grip upon him this inclination took, until the poor man would supposed that it was something that was a necessity for him, and that he would never get rid of it.",
"     V’eh fakin e ven-heshey coamrit ayns frytlaggyn, as va’n chenjallys boallagh ve eddyr oc ceaghlut gys troiddey, streeu, oltooan, as bwoalley. Va’n chloan myrgeddin goll mow laccal bee as eaddagh. Cha row fort echey faill ’choyrt da’n vainshtyr-schoillar son y nynsagh oc, as cha row fys echey ayns e cheeayl cre’d dy yannoo.","     He was seeing his wife dressed in rags, and the kindness that used to be between them changed to rowing, strife, insult, and thumping. The children were also perishing for lack of food and clothing. He didn't have the means to give pay to the school-master for their education, and he didn’t know in his mind[2] what to do ",[2] as cha row fys echey ayns e cheeayl—Perhaps an idiom equivalent to ‘at his wit’s end’?
"     Dy-ve-shickyr v’eh geddyn faill vie cour y chiaghtin, agh c’raad va’n argid ooilley goll cha bione da. Er-lesh nagh blhiass da’n ven ve jannoo wheesh dy feiyr,—cha row’n bine v’eh goaill ’sy voghrey red mooar, ny ec y vunlaa, as cha nee lane glen v’eh goaill toshiaght ny hoie—my haghyragh da laa ny jees dy iu ’ghoaill nish as reesht, er-lesh nagh beeu j’ee taggloo jeh, son, my beeir da hene, va lheid y red ymmyrchagh son dy niartaghey as dy chummal seose e challin, lurg garrey trome dy obbyr chreoie; as v’eh goaill er dy ghra, nagh row ny v’eh giu, red erbee as y raad da dooinney va tooilleil cha doccaragh as veshyn.","     To be sure, he was getting good weekly pay, but where all the money was going he knew not. He thought the missus didn’t need to make so much din,— the drop he was taking in the morning wasn’t a big thing, nor at midday, and he wasn’t starting the night completely unaffected—if he happened to have a day or two of drinking, he thought it wouldn’t be worth talking of, because if what he said to himslef was true, such a thing was necessary for to strenghthen and to support his body, after a heavy spell of hard work;  and he was presuming to say, that what he was drinking wasn’t anythng untoward for a man who was toiling as hard as he was.",
"     V’eh goaill rish dy row eh, paart dy cheayrtyn, cur roie beg gys y thie-oast Jedoonee dy geddyn bine, as cre’n assee mooar oddagh ve ayns jannoo shen, fakin dy row leigh as cliaghtey ny cheerey lowal jeh, as sleih elley va foddey share na ve hene jannoo, er-nonney begin da hreigeil y cheshaght oc. V’eh cur ooilley e voghtynid as e hennid gy leih drogh chiarail ayns aght ny aght ennagh, agh cha bleayr da kys oddagh eh ve kyndagh rish hene, as v’eh goaill feer olk rish dy row’n ven cha kinjagh baggyrt as geddyn foill da.","     He was admitting that he was, sometimes, giving a lttle run to the pub on Sunday, to get a drop, and what great harm could there be in doing that, seeing that the law and custom of the land allowed it, otherwise he would have to forsake their company. He was putting all his poverty and his distress down to bad planning in some way or other, but it wasn’t clear to him how he could be guilty himself, and he was taking it very badly that the missus was so constantly threatening and blaming him.",
"     Agh myr v’eh ny hoie ayns y thie-oast er moghrey Doonaght dy row lurg da ny iuderyn elley v’er n’gholl magh, haghyr dy daink ny fir-oik mygeayrt, as son dy cheiltyn eh voue, as dy haghney smaght y leigh, deie yn ven-oast,—“Houe! Thom Veen, ta ny polees-manyn cheet! as my haarys ad uss ayns shoh, ny my hee ad oo goll magh, cha shickyr as lhiass dy bee mayd ny-neesht fienit; son ta kiare ooryn Casherick er y Doonaght, ayndoo nagh jean eh mie dou stoo ’chreck, er-nonney, my yiow ad shoh fys er caill-ym yn oastys, as bee’m creeuit son dy bragh. Tar-royd seose ny greeshyn marym, as ver-ym shilley dhyt jeh ny reddyn bwaaghey t’er y lout, choud as vees adsyn jeeaghyn ayns shoh wass. Bannaght ort! jean siyr.”","      But as he was sat in the pub on one Sunday morning after the other drinkers had gone out, it so happened that the officers came around, and to conceal him from them, and to avoid the discipline of the law, the landlady called—“Hey! Tom love, the policemen are coming! and if they catch you in here, or if they see you going out, it’s as sure as needs be we’ll both be fined; for there are four holy hours on a Sunday, in which it won’t do for me to sell stuff, otherwise, if they find out about it, I’ll lose the license and I’ll be ruined forever. Come on up the stairs with me, and I’ll give you a sight of the spendid things in the loft, whilst they’ll be looking down here. Bless you! Hurry up!”",
"      Shoh raait, hie eh geiyrt urree veih boayl dy boayl, as goaill lane yoindys jeh’n stoo-thie ooasle, as ny fillosheryn mooarey v’eh fakin, dooyrt eh rish hene, “Sheain-y-mie orryms![3] ta’n thie shoh goll-rish Plaase.” As ve mirril da kys oddagh lheid ny reddyn ’ve.","     This said, he followed her from place to place, and was completely amazed by the posh furniture, and great ornaments he was seeing, he said to himself, “Oh my God! this house is like a palace!” And it was a miracle to him how such things could be.","[3] sheain eh mie orrin—in. an interjection of wonder or surprise, praying that God might diffuse his good peace on or among us. (Cregeen)."
"     Choud as v’eh myr shoh dowin smooinaghtyn, as dy trimshagh blakey, ren eh cosoylagh ’yannoo, ayns e aigney, eddyr yn verchys v’eh fakin mygeayrt y mysh, as yn voghtynid, yn treihys, as y trustyr v’ayns e hie hene.","     Whilst he was thinking deeply like this, and staring sadly, he made a comparison in his mind, between the riches he was seeing around about him, and the poverty, the misery, and the rubbish that was in his own house. ",
"     Lurg shen, hug ee lh’ee stiagh eh ayns ynnyd va enmysit yn Drawing-room—as mannagh ghow Thom yindys roie ghow yindys eisht. Cha row fys echey ayns e cheeayl c’red dy ghra. Tra honnick eh yn coodagh bwaagh er-bastal v’er y laare, v’eh agglit—cha bloys da wheesh as e chass ’chur er—dy jarroo dooyrt ee rish eh dy ghlenney e chassyn my darragh eh stiagh. Agh ghow eh foddey, foddey smoo dy yindys tra honnick eh yn Gless-tuarystal aalin, va wheesh as dy row eh roshtyn bunnys voish y laare seose gys y seelin, ayn ve’h fakin slane caslys e chorp hene coamrit ayns shenn eaddagh ceauit, broigh, as frytagh, ga nagh row clooid caghlaaee arragh echey.","     After that, she brought him into the place called the Drawing-room—and if Tom wasn’t amazed before, he was astounded then. He didn’t have a clue what to say. When he saw the incredibly splendid covering that was on the floor he was afraid—he didn’t dare put as much as his foot on it—indeed, she told him to clean his feet if he were to go in. However, he was far, far more amazed when he saw the beautiful mirror, that was so big that it reached almost from the floor up to the ceiling. In it he saw the full image of his own body, covered in old worn-out clothing, filthy, and ragged, although he had no more change of cloth. ",
