English,Manx,Original Manx,Notes
,,,
THE ,RULEYN.,,
"NATURE, DESIGN,",YN,,
and ,Pobble Enmyssit,,
GENERAL RULES ,METHODISTYN,,
of the ,ER NY HOIAGHEY SEOSE,,
Methodist Societies.,LIORISH.,,
ESTABLISHED,,,
By the Rev. JOHN WESLEY.,"JOHN WESLEY, M. A.",,
"To which are added,",,,
THE RULES,,,
of the,LIVERPOOL:,,
BAND SOCIETIES.,printed by j. nuttall.,,
,1800,,
LONDON.,,,
"Printed by G. Story, North-Green, Worship-Street.",,,
"sold by g. whitfield, city-road: and at the methodist preaching-houses in town and country.",,,
1800,,,
price one-penny.[1],,,"[1] There are many versions of what is commonly called ‘The General Rules of the Society of the People Called Methodists’. This version from 1800 is not only closest chronologicaly, but seems to be the version the Manx translation is based upon, the only significant difference being the system for footnotes, which has been altered here from a system of punctuation marks to the same alphabetical system used in the Manx version. https://books.google.im/books?id=yIMV9Njpn8gC&dq=The%20nature%2C%20design%2C%20and%20general%20rules%20of%20the%20methodist%20societies%20established%20by%20the%20rev.%20john%20wesley&pg=PA1#v=onepage&q&f=false"
,,,
,,,
RULES of the SOCIETY.,RULEYN.,,
"1. In the latter end of the year 1739, eight or ten Persons came to Mr. Wesley in London, who appeared to be deeply convinced of sin and earnestly groaning for Redemption. ","Ayns jerrey’n Vlein un thousane shiaght cheead as nuy-jeig as feed, haink hoght ny jeih dy phersoonyn gys Mr. Wesley ayns Lunning va jeeaghin dy ve fo ennaghtyn dowin jeh nyn stayd peccoil, as gosnaghey son livreys. ",,
"They desired (as did two or three more the next day) that he would spend some time with them in prayer, and advise them how to flee from the wrath to come, which they saw continually hanging over their heads. ","Ren ad geearee (myr ren ghaa ny three elley yn laa er-giyn) dy jinnagh eh baarail tammylt dy hraa mâroo ayns padjer, as coyrle y chur daue kys dy chea veih’n chorree ta ry-heet, va’d fakin dy kinjagh croghey harrish nyn ghing. ",,
"That they might have more time for this great work, he appointed a day when they might all come together, which from thenceforward they did every week, viz. on Thursday in the evening.","Agh dy voddagh ny smoo dy hraa ’ve oc son yn obbyr vooar shoh, ren eh pointeil laa tra oddagh ad ooilley cheet cooidjagh; shen ren ad tannaghtyn dy yannoo lurg shen dy chooilley hiaghtin; ta shen er fastyr Jerdein. ",,
"To these, and as many more as desired to join with them, (for their number increased daily) he gave those advices from time to time which he judged most needful for them: and they always concluded the meeting with prayer, suited to their several necessities.","Daue shoh as da whilleen elley as va aigney ock dy lhiantyn mâroo, (son va’n earroo ock bishaghey gagh-laa.) hug eh lheid ny coyrleyn veih traa dy traa as ve briwnys smoo va ymmyrchagh er nyn son ock: as ren ad kinjagh cur jerrey er y cheet-cooidjagh ock lesh padjer cordail rish ny caghlaaghyn stayd ock. ",,
"2. This was the rise of the Methodist Society, first in London, and then in other places. Such a Society is no other than “A company of persons, who, having the Form, are seeking the Power of Godliness: United, in order to pray together, to receive the word of exhortation, and to watch over one another in love, that they may help each other to work out their Salvation.”(a)"," Shoh myr ren ny Methodistyn troggal seose hoshiaght ayns Lunning as eisht ayns ardjyn elley. Yn Cheshaght cheddin dy leih, cha vel ad agh, “Sheshaght dy phersoonyn ta oc yn Cummey as ta shirrey’n Phooar dy CHRAUEEAGHT: Ta ayns unnanys dy ghoaill padjer cooidjagh, dy ghoaill yn goo dy choyrle, as dy ve er nyn arrey yn derrey yeh harrish yn jeh elley ayns graih, dy vod ad cooney yn derrey yeh lesh yn jeh elley dy obbraghey magh nyn Saualtys.”(a)",,
,(a) Ymmyrk-jee erraghyn yn derrey yeh yn jeh elley as myr shen jean jee leigh Chreest y lhieeney. Gal. vi. 2. Heb. x. 24. Jannoo ny Hostyllyn ii. 42.,,
,,,
,,,
"(a) “Bear ye one another’s burdens, and so fulfil the law of Christ.” Gal. vi. 2. Heb. x. 24. Acts. ii. 42. ",,,
"There is only one condition previously required in those who request to be admitted into this Society, namely, A desire to flee from the wrath to come, to be saved from their sins: (b) But wherever this is really fixed in the soul, it will be shown by its fruits. (c)","Ynrican un red ta er ny hirrey jeh ooilley nyn lheid as ta geearree dy ve oltyn jeh’n Cheshaght shoh, roish my vod ad ve goit stiagh, ta shen, yeearree dy hea veih’n chorree ta ry-heet, dy ve sauit veih nyn beccaghyn. (b) Agh raad erbee dy vel shoh er ny [3] hickraghey ayns yn annym bee eh er ny hoilshaghey liorish e vessyn. (c)",,
(b) Matt. i. 21.,(b) Mian i. 21.,,
(c) Matt. iii. 8.,(c) Mian iii. 8.,,
"That it may the more easily be discerned, whether the members of the society are working out their Salvation, each society is divided into smaller companies, called Classes, according to their respective places of abode, or as it may suit their convenience. There are about twelve persons, or more, in each class; one of whom is stiled the Leader.","Dy vod tastey skeyrey ve currit da vel dy chooilley olt jeh’n Cheshaght cheddin gobbraghey magh nyn Saualtys, ta dagh Sheshaght er nyn rheinn ayns sheshaghtyn sloo enmyssit Classyn, cordail rish yn boayl raad ta lheid ny persoonyn vaghey, ny myr share ta gansoor daue hene. Ta mish[2] daa phersoon-jeig ny na smoo ayns dagh class, fer jeu ta enmyssit Leeideilagh.",,"[2] mish—variant spelling of mysh—‘around’, ‘about’, ‘approximately’, etc."
"No person is admitted on trial, till he has met three or four times in a Class, and is recommended by a leader, or by a proper person, and receives a note from a travelling-preacher, and the rules of the society. ","Cha vel persoon erbee goit stiagh er trial, derrey t’eh er veeteil three ny kiare dy cheayrtyn ayns class as imraa er ny yannoo jeh myr fer ta cooie dy ve goit stiagh, liorish Leeideilagh class, ny persoon fondagh ennagh elley, as geddin scrieu veih’n Phreachoor ta troailt soilshaghey dy vel ad goaill-rish er trial marish ny ruleyn ta bentyn da’n Cheshaght.  ",,
"Having met two months on trial, and being recommended by the leader, he then receives a Ticket, and is considered as a member of the society.","Lurg da ve’r veeteil daa vee er trial, as er ny lowal jeh liorish yn Leeideilagh, te eisht geddin ticket, as ta jeeaghit er myr olt jeh’n Cheshaght.","Lurg da ve’r veeteil dy vee er trial, as er ny lowal jeh liorish yn Leeideilagh, te eisht geddin ticket, as ta jeeaghit er myr olt jeh’n Cheshaght.",
"Persons are received into society in large towns, on the Sunday following the quarterly visitation of the classes. The officiating preacher then reads over their names in the society meeting.",Ta persoonyn er ny ghoaill stiagh gys y Cheshaght ayns baljyn mooarey er yn chied doonaght kione y raaiee lurg da ny ticketyn ve currit magh. Ta’n preachoor ta shirveish ’sy voayl shen lhaih ny henmyn ock ayns meeteil jeh’n Cheshaght hene.,,
"A Leader ought to be a person of clear experience, and sound judgment, truly devoted to God, zealous for the salvation of souls, of upright conversation, and one who has gifts proper for the work. ","Lhisagh Leeideilagh class ve persoon jeh toiggal vie ayns y raad dy haualtys, as jeh briwnys follan, dy firrinagh currit seose gys Jee, jeean son saualtys anmeenyn, jeh ymmyrkey bea ynrick, as fer ta gooityn echey cooie son yn obbyr. ",,
"He is nominated by the superintendent, at a leader’s meeting, and if approved of by a majority of the leaders present, is confirmed in that office. ","Te er ny phointeil dy ve er ny hrial son yn oik cheddin, liorish yn preachoor ny’n shirveishagh ta jeeaghyn harrish cooishyn Methodistyn ayns y voayl shen ec meeteil jeh ny leeideilee; as my te lowit jeh liorish yn ayrn smoo jeh ny leeideilee kion-fenish, te er ny hickraghey ayns oik shen. ",,
"It is the business of a leader to see all the persons belonging to his class once a week at least, in order to enquire how their souls prosper. Not only how they keep the Rules of the Society, but how they grow in the knowledge and love of God. To advise, reprove, comfort, or exhort, as occasion may require. To receive what they are willing to give toward the support of the Gospel.","Te currym leeideilagh class dy akin ooilley ny persoonyn bentyn gys e chlass keayrt ’sy chiaghtin ec [4] chooid sloo[4], dy vod eh fys gheddin er stayd ny hanmeenyn ock. Cha nee ynrican kys ta’d freayll Ruleyn yn Cheshaght, agh kys t’ad gaase ayns tushtey as graih Yee. Dy choyrlaghey, dy chur oghsan, dy gherjaghey, dy ynsaghey myr ta oyr er y hon. Dy ghoaill ny ta’d arryltagh dy choyrt son cummal seose yn Sushtal.","Te currym leeideilagh class dy akin ooilley ny persoonyn bentyn gys e chlass keayrt ’sy chiaghtin ec [4] chooid sloo[4], dy vod eh fys gheddin er stayd ny hanmeenyn ock. Cha nee ynrican kys ta’d freayll Ruleyn yn Cheshaght, agh kys t’ad gaase ayns tushtey as graih Yee. Dy choyrlaghey, dy chur oghsan, dy gherjaghey, dy ynsaghey myr ta oyr er y hon. Dy ghoaill ny ta’d arr-ltagh dy choyrt son cummal seose yn Sushtal.","[4] ec chooid sloo—‘at least’; ec y chooid sloo would be expected here; the word chooid appears as catch-word, and at the start of the next new page, so it may be surmised that the y was omitted at the end of p. 3 in error."",,"
"To meet the Preacher and Stewards of the Society once a week, in order to inform the Preacher of any that are sick; or of any that walk disorderly, and will not be reproved, To pay to the Stewards what they have received of their several classes, and to show their account of what each person has contributed.","Dy veeteil yn Preachoor as Stiurtyn y Cheshaght keayrt ’sy chiaghtin, dy vod ad soilshaghey quoi ta ching nyn mast’ ock ; ny my ta fer erbee jeu nagh vel goll cordail rish-oardagh, as nagh bee coyrlit. Dy eack da ny stiurtyn ny t’ad er gheddin veih ny classyn oc, as dy yeeaghin cre ta dagh persoon erlheh er chur stiagh. ","Dy veeteil yn Preachoor as Stiurtyn e Cheshaght keayrt ’sy chiaghtin, dy vod ad soilshaghey quoi ta ching nyn mast’ ock ; ny my ta fer erbee jeu nagh vel goll cordail rish-oardagh, as nagh bee coyrlit. Dy eack da ny stiurtyn ny t’ad er gheddin veih ny classyn oc, as dy yeeaghin cre ta dagh persoon erlheh er chur stiagh. ",
"    A Steward of the Society, ought to be an experienced christian, of upright conversation, and one who can write and keep fair accounts. He is chosen to his office at a quarterly, or at a leader’s meeting. He is then nominated by the superintendent, and if approved of by the majority of the persons present, is confirmed in his office for one year.","Lhisagh Stiurt jeh’n Cheshaght shoh, ve creestee jeh toiggal vie ayns y raad dy haualtys, jeh ymmyrkey bea ynrick, as fer oddys Scrieu as freayll coontaghyn kiart. Te reiht gys e oik ec meeteil kiarroo, ny meeteil jeh leeideilee ny classyn. Te eisht er ny enmys dy ve prowit son yn oik cheddin liorish yn Preachoor ta gordrail cooishyn yn Cheshaght ’sy voayl shen, as my te lowit liorish yn ayrn smoo jeh ny persoonyn kionfenish, te er ny hickraghey ayns yn oik shen son un vlein. ",,
And at the end of a year he is either re-elected or another person chosen into his place.,As ec kione ny bleeaney t’eh eddyr reiht ass-yn-noa ny persoon elley reight ayns yn ynnyd echey.,As ec kione ny bleeaney t’eh eddyr reiht ass-yn-noa ny persoon elley reight ayns yn nynyd echey.,
"But no leader or steward can be put out of his place, but by a majority of leaders, or a quarterly meeting, ","Agh cha vod leeideilagh-class ny stiurt ve currit ass e oik, agh liorish yn ayrn smoo kionfenish, ec meeteil kiarroo, ny meeteil jeh nyn lheid as ta leeideil class. ",,
Neither can any member of the society be excluded but by a majority at a leader’s-meeting. ,"Chamoo oddys olt erbee jeh’n Cheshaght ve giarit magh, agh liorish yn ayrn smoo kion-fenish ec meeteil jeh ny leeideilee. ",,
"All the members of the society must continue to evidence their desire of Salvation, By doing no harm, by avoiding evil of every kind; especially that which is most generally practised:","Shegin da dy-chooilley olt jeh’n Cheshaght tannaghtyn dy hoilshaghey magh nyn yeearree lurg Saualtys, Liorish gyn jannoo aggair erbee, liorish shaghney dy chooilley cheint dy olk, er-lheh lheid ny huilk as ta cadjin er ny chliaghtey. ",,
"Such as, the taking the Name of God in vain. The profaning the Day of the Lord, either by doing ordinary work thereon, or by buying or selling; by employing a barber; by making or going to any feast or wake; or by learning the military exercise as a volunteer, or by attending to see them exercise on the Lord’s-day.","Lheid as goaill ennym Yee ayns fardail. Brishey Laa’n Chiarn, liorish jannoo obbyr erbee er nagh vel egin er y hon, ny liorish creck ny kionnaght, ny [5] jannoo[9] ymmyd jeh barber er’, liorish jannoo ny goll gys cuirraghyn rouanagh, ny meeteilyn dy ronneeaght, liorish goll dy ynsaghey yn Cheird chaggee tra nagh vel eginit huggey, ny liorish goll dy akin ad gynsaghey yn cheird-chaggee er Laa yn Chiarn.","Lihed as goaill ennym Yee ayns fardail. Brishey Laa’n Chiarn, liorish jannoo obbyr erbee er nagh vel egin er y hon, ny liorish creck ny kionnaght, ny [5] jannoo[9] ymmyd jeh barber er’, liorish jannoo ny goll gys cuirraghyn rouanagh, ny meeteilyn dy ronneeaght, liorish goll dy ynsaghey yn Cheird chaggee tra nagh vel eginit huggey, ny liorish goll dy akin ad gynsaghey yn cheird-chaggee er Laa yn Chiarn.","[9] jannoo] text janoo, catch-word janono"
"They must avoid drunkenness; buying or selling spirituous liquors, or drinking them, unless in cases of extreme necessity. Fighting, quarrelling, brawling; brother going to law with brother; returning evil for evil, or railing for railing.(d) The using many words in buying or selling: The buying or selling uncustomed goods. The giving or taking things on usury, that is, unlawful interest.(e) Uncharitable or unprofitable conversation; all foolish talking and jesting.(f) Evil speaking, particularly of magistrates or of ministers, seeing that in the oracles of God, we are commanded to be subject to the higher powers; and that Honour the King, is there connected with the Fear of God.(g)","Sheign daue Shaghney meshtyllys; kionnaght ny creck sthoo erbee ta jeh bree dy chur lesh neu-heeltys, ny giu jeu mannagh bee er oyr dy egin vooar. Bwoalley yn derrey yeh ’er y jeh elley, tuittym magh ry-chieley, as beealyraght; braar goll gys y leigh rish braar, chyndaa olk son olk, ny oltooan son oltooan.(d) Ny jannoo ymmyd jeh ymmodee goan ayns kionnaght as creck: Kionnaght ny creck cooidyn nagh vel custom eeckit assdoo. Coyrt ny goaill cooid er use neulowal.(e) Taggloo neu-ghiastylagh as neu-vondeishagh; dy chooilley phleadeil ommijagh as craid.(f) Loayrt dy holk jeh feallagh elley, erlheh jeh fir-reill as shirveishee, fakin dy vel shin sarit ayns goo Yee dy ve biallagh da ny pooaraghyn syrjey; as dy vel Onnor chur da’n Ree ayns shen sneimmit rish Aggle ghoaill roish Jee (g).","Sheign daue Shaghney meshtyllys; kionnaght ny creck sthoo erbee ta jeh bree dy chur lesh neu-heeltys, ny giu jeu mannagh bee er oyr dy egin vooar. Bwoalley yn derrey yeh ’er y jeh elley, tuittym magh ry-chieley, as beealyraght; braar goll gys y leigh rish braar, chyndaa olk son olk, oltooan. Son altooan(d) Ny jannoo ymmyd jeh ymmodee goan ayns kionnaght as creck: Kionnaght ny creck cooidyn nagh vel custom eeckit assdoo. Coyrt ny goaill cooid er use neulowal.(e) Taggloo neu-ghiastylagh as neu-vondeishagh; dy chooilley phleadeil ommijagh as craid.(f) Loyart dy holk jeh feallagh elley, erlheh jeh fir-reill as shirveishee, fakin dy vel shin sarit ayns goo Yee dy ve biallagh da ny pooaraghyn syrjey; as dy vel Onnor chur da’n Ree ayns shen sneimmit rish Aggle ghoaill roish Jee (g).",
(d) 1. Pet. iii. 9.,(d) 1. Ped. iii. 9.,,
(e) Psa. xv. 5 ,(e) Psal.xv. 5. ,,
(f) Eph. iv. 29,(f) Eph. iv. 29.[12],,"[12] The footnote indexes (f) referring to Eph. iv. 29 and (h) (Rom. xii. 2) are missing in the Manx version, with the consequence that the subsequent references are out of synchronisation with the texts they belong to. Corrected here, following the sense of the references, and the English text. By the end, the Manx references are out by 3, so what is printed as (w) should be (z)."
(g) 1 Pet ii. 17: ,(g) 1 Ped ii. 17: ,,
Doing to others as we would not they should do unto us. Doing what we know is not for the Glory of God; as the putting on of gold or costly apparel; the following the vain and foolish customs or fashions of the world. (h),"Jannoo rish feallagh elley shen nagh baillin feallagh elley dy yannoo rooin. Jannoo shen ta fys ain nagh vel gys gloyr Yee; as cur orrin airh ny coamrey costal; geiyrt er cliaghtaghyn fardalagh as ommijagh, ny cummaghyn yn seihll shoh. (h)",,
"(h) “Be not conformed to this world, but be ye transformed by the renewing of your minds,” Rom. xii. 2 and 1 Cor. x. 31.","(h) Nagh bee er ny chummey gys cliaghtaghyn yn seihll shoh, agh bee shiu er ny chaghlaa ayns spyrryd nyn aigney, Rom. xii. 2.----1 Cor. x. 31.",,
