Manx,English,Notes
Illiam as Ysbal.,Illiam and Ysbal.,
"     VA kiart blein dy hraa nish er n’gholl shaghey er dyn chied laa hug Illiam e laue gys y Total, as ren y caghlaa ghow eh ec traa shen prowal vondeishagh da hene as e lught thie, as feer chronnal da ooilley e ainjyssee. S’mie dreill Ysbal, yn ven echey, cooinaghtyn er y chied laa daag eh jeh giu, as y vie v’ad er gheddyn liorish shen rieau er-dy-henney. Myr shen chiare ee dy ve ass-towse gennal rish tra harragh eh thie voish ’obbyr—she fastyr Jesarn v’eh; ghlen ee dy chooilley chorneil jeh’n thie myr bollagh ee, as hooar ee ooilley ny kiartaghyn jeant ayns traa mie cour y Doonee. Chamoo dy row Illiam eh-hene er yarrood dy nee shen va laa choine-ny-bleeaney neayr’s ghow eh toshiaght dy yannoo myr lhisagh eh, as s’mooar va’n gherjagh ren eh da dy veeiteil e ven dy gennal rish tra haink eh thie. Eisht ghow ad ny neesht toshiaght er jannoo cooish cooidjagh myr ta cheet ny lurg shoh :—","     Exactly a year had passed since the first day Illiam gave his hand to the Total (pledged not to drink alcohol), and the change he underwent at that time proved advantageous to himself and his family, and very noticeable to all who knew him. How well Ysbal, his wife, remembered the first day he left off (quit) drinking, and the good they’d got by that ever since. So she took care to be beyond cheerful for when he’d be coming home from his work - it being Friday evening; she cleaned every corner of the house as she always did, and she got all the chores done in good time for the Sabbath. Neither had Illiam himself forgotten that that was the anniversary day of him starting to do as he should, and how great it comforted him to meet his wife merrily when he came home. Then they had both begun to chat together as follows: - ",
"Ysbal.—My heshey, s’mie shynney lhiam dy  akin oo er roshtyn thie.","Ysbal. - My husband, how well I love to see you having arrived home.",
"Illiam.—Mie! agh fuirree-ort-oo, Ysbal, vel  cooinaghtyn ayds er red ennagh ren oo-hene as mish y yannoo corrym rish y traa shoh nurree ?","Illiam. - Good! but wait, Ysbal, do you remember something yourself and I did at this time last year?",
"Ysbal.—Dy jarroo ta shen, Illiam, she blein gys y laa jiu hooar shinyn rey rish nyn dreihys, as ta mish er reayll ny paitchyn er nyn gosh noght son dy vod oo fakin cre cha doaieagh as ta shin ooilley nish, shaghey na va shin keayrt dy row.","Ysbal. - Yes indeed, Illiam, today is a year to the day we got rid of our misery, and I’ve kept the children up tonight so you can see how decent we all are now, rather than what we once were.",
"Illiam.—Dy jarroo firrinagh, Ysbal, cha row rieau fys aym er y derrey lieh foays ayd derrey hug mee seose giu :","Illiam.- True indeed, Ysbal, I never knew the first half of your goodness until I gave up drinking.",
"Tra ta dooinney skee lesh tooilleil,","When a man is tired from work,",
"As ec yn oie cheet thie,","And coming home at night,",
O te ard-vannaght dy veeiteil,"O, it is a great blessing to meet",
Ben-heshey dooie as mie ! ,"A good, kind wife!",
